#{"t_start": 1637146089.517278, "env_id": null}
r,l,t
-4835.672724,8759,26.412047
-3655.801506,8759,53.39426
-3117.228467,8759,80.328642
-3147.279433,8759,107.191559
-3184.157903,8759,134.260263
-3209.32289,8759,161.207918
-3233.364965,8759,188.141275
-3210.823536,8759,215.007602
-3255.460748,8759,241.827173
-3305.675132,8759,310.047797
-3275.759506,8759,337.012579
-3338.212543,8759,363.997727
-3382.636694,8759,390.941807
-3412.047998,8759,419.269401
-3391.748407,8759,449.984367
-3364.053353,8759,477.964756
-3262.512625,8759,505.891036
-3301.589433,8759,533.777487
-3278.094973,8759,561.060741
-3280.430086,8759,632.074843
