#{"t_start": 1637071901.459491, "env_id": null}
r,l,t
23317.435103,8759,26.134795
42515.952674,8759,52.851679
66117.014259,8759,79.574755
65392.054633,8759,106.206645
60375.324073,8759,132.717986
58729.453127,8759,159.328076
62097.644034,8759,185.895681
59139.470078,8759,212.431635
60041.510252,8759,239.497712
58984.256045,8759,312.822494
57216.404511,8759,339.853669
57008.650144,8759,367.010712
55551.787627,8759,394.108815
53726.119277,8759,421.627565
53526.801891,8759,448.846318
52017.769579,8759,475.843492
50622.306708,8759,502.667498
50274.300732,8759,530.29864
48969.408703,8759,557.610342
46968.957883,8759,628.730918
