#{"t_start": 1637834826.332115, "env_id": null}
r,l,t
25871.761813,8759,27.748079
26376.608649,8759,56.521943
26231.653577,8759,85.207266
26359.222088,8759,113.699317
26256.303533,8759,144.235342
26057.171171,8759,172.663949
26630.274826,8759,201.409091
26623.119268,8759,231.405448
27138.22802,8759,258.592721
27052.203124,8759,286.933483
26963.828714,8759,316.306335
27135.86106,8759,344.84437
27368.787258,8759,373.864185
27348.964082,8759,401.359561
27539.722139,8759,429.890624
27528.911071,8759,457.346516
27663.293206,8759,484.848659
27485.425037,8759,511.227674
27737.893524,8759,537.882089
27554.417046,8759,566.140693
27726.716805,8759,594.406805
27712.236795,8759,621.420393
27716.903424,8759,649.780301
27803.736999,8759,677.795127
27733.949136,8759,706.35565
27750.830511,8759,734.648514
28124.525982,8759,762.556064
27929.475895,8759,790.619576
27952.507472,8759,818.876894
27970.869208,8759,884.531793
