#{"t_start": 1637312454.3780549, "env_id": null}
r,l,t
-3977.089757,8759,36.815386
-3420.595132,8759,72.202709
-2748.346595,8759,108.464217
-2450.099737,8759,143.66397
-2462.002072,8759,177.854715
-2396.871676,8759,211.208316
-2561.659006,8759,244.393009
-2594.495223,8759,277.733138
-2606.399287,8759,311.046873
-2565.398404,8759,346.116113
-2585.185813,8759,381.76935
-2606.174837,8759,419.72242
-2632.258208,8759,455.433351
-2595.790963,8759,489.370426
-2602.886465,8759,523.045318
-2567.197091,8759,557.268231
-2536.92788,8759,592.513564
-2478.462449,8759,626.937657
-2448.803974,8759,662.358345
-2544.557896,8759,698.025896
-2566.720667,8759,734.784751
-2590.32936,8759,775.052572
-2566.194866,8759,811.931108
-2556.916418,8759,848.98938
-2536.645268,8759,885.807488
-2561.973745,8759,923.133239
-2584.888849,8759,960.165599
-2545.681546,8759,997.820312
-2562.24522,8759,1034.668815
-2554.033434,8759,1114.631153
