#{"t_start": 1638119356.6454737, "env_id": null}
r,l,t
-22905.055213,8759,32.606787
-22425.659072,8759,65.067642
-21559.274231,8759,97.401028
-21228.369311,8759,129.349014
-20597.736638,8759,161.806862
-22072.364491,8759,195.679062
-22729.747531,8759,228.431004
-21972.441516,8759,260.923612
-22033.805812,8759,293.510977
-22419.963842,8759,326.245725
-22240.10794,8759,358.962211
-20535.176223,8759,391.364456
-20552.224111,8759,425.520048
-21146.288171,8759,461.043397
-20486.388543,8759,495.178537
-20913.089783,8759,530.481543
-20649.263789,8759,565.429594
-21006.746975,8759,600.185166
-20333.699403,8759,635.309083
-20743.030408,8759,670.323975
-20823.919902,8759,705.271925
-23429.866002,8759,740.722004
-24097.030247,8759,777.519434
-23481.432802,8759,812.166211
-21815.949978,8759,846.574402
-20048.88946,8759,880.530436
-20225.594087,8759,915.732847
-20378.547677,8759,950.482533
-20754.102694,8759,985.359473
-20534.146969,8759,1021.358899
-20616.934531,8759,1056.299353
-20540.464161,8759,1091.274804
-21639.169506,8759,1125.787755
-21185.162398,8759,1161.472142
-22725.454901,8759,1233.084086
