#{"t_start": 1652171709.642006, "env_id": "MicrogridControlGym-v0"}
r,l,t
-5004.132747,8759,54.572438
-3353.945583,8759,101.527007
-3252.913846,8759,145.075508
-3247.333065,8759,189.86472
-3281.976347,8759,233.925221
-3285.597806,8759,278.597301
-3330.296395,8759,322.618661
-3367.714008,8759,367.123736
-3323.626563,8759,411.197245
-3385.768478,8759,458.548532
-3331.993728,8759,502.869194
-3524.889572,8759,547.662663
-3408.174012,8759,591.657295
-3302.640638,8759,635.997
-3284.688226,8759,679.233821
-3341.757446,8759,721.143181
-3325.136325,8759,763.770107
-3443.719849,8759,806.553719
-3336.395633,8759,859.523767
-3398.07321,8759,905.3323
-3349.810408,8759,952.484404
-3301.451713,8759,1000.182406
-3313.082704,8759,1045.394406
-3554.696169,8759,1088.608704
-3430.049347,8759,1138.521802
-3371.487886,8759,1181.226618
-3384.671744,8759,1227.713005
-3501.702826,8759,1270.375742
-3358.719933,8759,1314.545602
-3262.829149,8759,1360.651606
-3249.621581,8759,1407.780961
-3237.952763,8759,1456.903454
-3254.709329,8759,1501.465216
-3212.259314,8759,1546.191366
-3356.493008,8759,1592.374951
-3291.761268,8759,1635.118663
-3285.744278,8759,1677.991572
-3299.109547,8759,1720.940316
-3310.905416,8759,1763.689238
-3294.526573,8759,1807.290038
-3321.029311,8759,1849.738121
-3355.179768,8759,1894.413932
-3353.191585,8759,1939.128881
-3316.56801,8759,1983.942216
-3276.464576,8759,2027.573426
-3280.554294,8759,2071.996719
-3281.687377,8759,2114.958992
-3259.111621,8759,2157.805174
-3237.196906,8759,2200.618873
-3231.975308,8759,2243.12279
