#{"t_start": 1637320760.9202178, "env_id": null}
r,l,t
-114534156.189066,8759,32.850765
-125305177.985672,8759,67.885107
-134117475.140901,8759,103.768148
-138752366.8284,8759,139.454013
-138567834.695766,8759,175.751274
-138597827.244899,8759,212.075009
-138757575.448493,8759,248.841943
-138734265.817453,8759,285.349075
-138806359.692977,8759,319.049563
-138656632.185355,8759,352.709198
-136899041.468677,8759,386.510375
-137744076.005452,8759,420.63943
-138596309.099169,8759,454.962107
-138947643.027313,8759,489.303484
-138508797.577495,8759,523.156256
-138626225.325731,8759,557.366665
-138642027.946117,8759,594.226798
-138268471.923958,8759,629.93375
-138831257.567617,8759,665.572916
-138947256.449465,8759,701.615963
-145199849.992208,8759,737.807113
-140405125.536948,8759,773.533809
-138284474.365775,8759,809.355403
-138665266.863968,8759,845.265683
-138413824.08469,8759,881.388978
-138665673.197443,8759,916.980601
-138642481.088324,8759,953.012055
-138882127.672762,8759,988.653832
-138894698.59657,8759,1024.628209
-138769082.59794,8759,1131.360046
