,PV production,Consumption,Net demand,Reward,Excess Energy,Hydrogen storage,Energy Bought,Energy Sold
0,0.0,4.880902800606278e-05,4.880902800606278e-05,0.0,0.0,0.0,0.0,0
1,0.0,0.0004086366522315041,0.0004086366522315041,0.0,0.0,0.0,0.0,0
2,0.0,0.002664596829790864,0.002664596829790864,0.0,0.0,0.0,0.0,0
3,0.0,0.013532534805074083,0.013532534805074083,0.0,0.0,0.0,0.0,0
4,0.0,0.05352898413467839,0.05352898413467839,0.0,0.0,0.0,0.0,0
5,0.0,0.16492599849391218,0.16492599849391218,0.0,0.0,0.0,0.0,0
6,0.0,0.3958694217292829,0.3958694217292829,0.0,0.0,0.0,0.0,0
7,0.0,0.740576948005074,0.740576948005074,0.0,0.0,0.0,0.0,0
8,0.0,1.0811800962721838,1.0811800962721838,0.0,0.0,0.0,0.0,0
9,0.0,1.2367433050422938,1.2367433050422938,0.0,0.0,0.0,0.0,0
10,0.0,1.1237845726334832,1.1237845726334832,0.0,0.0,0.0,0.0,0
11,0.0,0.8518759922486386,0.8518759922486386,0.0,0.0,0.0,0.0,0
12,0.0,0.6287315398579838,0.6287315398579838,0.0,0.0,0.0,0.0,0
13,0.0,0.5948910510614877,0.5948910510614877,0.0,0.0,0.0,0.0,0
14,0.0,0.7626272042419246,0.7626272042419246,0.0,0.0,0.0,0.0,0
15,0.002254685558623506,1.0597350089824233,1.0574803234238,0.0,0.0,0.0,0.0,0
16,0.01691014143602417,1.383860896345739,1.3669507549097148,0.0,0.0,0.0,0.0,0
17,0.0,1.6321004404728996,1.6321004404728996,0.0,0.0,0.0,0.0,0
18,0.0,1.7249556535871104,1.7249556535871104,0.0,0.0,0.0,0.0,0
19,0.0,1.6316965249467017,1.6316965249467017,0.0,0.0,0.0,0.0,0
20,0.0,1.3811977767169288,1.3811977767169288,-3.114230524181334,0.0,0.0,1.557115262090667,0
21,0.0,1.0462089208507497,1.0462089208507497,-2.7623955534338576,0.0,0.0,1.3811977767169288,0
22,0.0,0.7091304153930155,0.7091304153930155,-2.0924178417014994,0.0,0.0,1.0462089208507497,0
23,0.0,0.4301093382043249,0.4301093382043249,-1.418260830786031,0.0,0.0,0.7091304153930155,0
24,0.0,5.881837749164545e-05,5.881837749164545e-05,-0.8602186764086498,0.0,0.0,0.4301093382043249,0
25,0.0,0.0004924364579620252,0.0004924364579620252,-0.0001176367549832909,0.0,0.0,5.881837749164545e-05,0
26,0.0,0.003211030184379271,0.003211030184379271,-0.0009848729159240505,0.0,0.0,0.0004924364579620252,0
27,0.0,0.016307674483597757,0.016307674483597757,-0.006422060368758542,0.0,0.0,0.003211030184379271,0
28,0.0,0.06450626296403048,0.06450626296403048,-0.032615348967195514,0.0,0.0,0.016307674483597757,0
29,0.0,0.19874765046328138,0.19874765046328138,-0.12901252592806095,0.0,0.0,0.06450626296403048,0
30,0.0,0.4770510300221528,0.4770510300221528,-0.39749530092656277,0.0,0.0,0.19874765046328138,0
31,0.0,0.8924483086195122,0.8924483086195122,-0.9541020600443056,0.0,0.0,0.4770510300221528,0
32,0.0,1.302899517505075,1.302899517505075,-1.7848966172390244,0.0,0.0,0.8924483086195122,0
33,0.0,1.4903643352046905,1.4903643352046905,-2.60579903501015,0.0,0.0,1.302899517505075,0
34,0.20010334300936183,1.3542409655081271,1.1541376224987654,-2.980728670409381,0.0,0.0,1.4903643352046905,0
35,0.15726431589614936,1.0265716351066567,0.8693073192105074,-2.308275244997531,0.0,0.0,1.1541376224987654,0
36,0.16233735885680767,0.7576665744639874,0.5953292156071798,-1.7386146384210148,0.0,0.0,0.8693073192105074,0
37,0.09469679043527192,0.71688635969948,0.6221895692642081,-1.1906584312143595,0.0,0.0,0.5953292156071798,0
38,0.01014608459105224,0.9190204479984296,0.9088743634073774,-1.2443791385284162,0.0,0.0,0.6221895692642081,0
39,0.0,1.2770566500873146,1.2770566500873146,-1.8177487268147547,0.0,0.0,0.9088743634073774,0
40,0.0,1.6676515784555248,1.6676515784555248,-2.5541133001746292,0.0,0.0,1.2770566500873146,0
41,0.0,1.9667980235150673,1.9667980235150673,-3.3353031569110496,0.0,0.0,1.6676515784555248,0
42,0.0,2.0786952113947446,2.0786952113947446,-3.9335960470301345,0.0,0.0,1.9667980235150673,0
43,0.0,1.9663112763523967,1.9663112763523967,-4.157390422789489,0.0,0.0,2.0786952113947446,0
44,0.0,1.6644423284042167,1.6644423284042167,-3.9326225527047933,0.0,0.0,1.9663112763523967,0
45,0.0,1.260756744307277,1.260756744307277,-3.3288846568084334,0.0,0.0,1.6644423284042167,0
46,0.0,0.8545529826615841,0.8545529826615841,-2.521513488614554,0.0,0.0,1.260756744307277,0
47,0.0,0.5183125837712108,0.5183125837712108,-1.7091059653231682,0.0,0.0,0.8545529826615841,0
48,0.0,5.83366716477512e-05,5.83366716477512e-05,-1.0366251675424216,0.0,0.0,0.5183125837712108,0
49,0.0,0.0004884035429163732,0.0004884035429163732,-0.0001166733432955024,0.0,0.0,5.83366716477512e-05,0
50,0.0,0.003184732757100593,0.003184732757100593,-0.0009768070858327464,0.0,0.0,0.0004884035429163732,0
51,0.0,0.01617411925079334,0.01617411925079334,-0.006369465514201186,0.0,0.0,0.003184732757100593,0
52,0.0,0.06397797494993204,0.06397797494993204,-0.03234823850158668,0.0,0.0,0.01617411925079334,0
53,0.0,0.197119963526456,0.197119963526456,-0.12795594989986409,0.0,0.0,0.06397797494993204,0
54,0.0,0.47314411727145533,0.47314411727145533,-0.394239927052912,0.0,0.0,0.197119963526456,0
