#{"t_start": 1637253451.2253351, "env_id": null}
r,l,t
20698.77453,8759,26.989166
20733.773456,8759,54.346697
22357.074057,8759,81.448404
21224.335527,8759,109.632472
21465.239895,8759,139.702089
21198.798323,8759,168.388958
21523.42184,8759,195.484479
21465.710864,8759,223.744174
21942.678872,8759,252.145803
22105.566489,8759,282.20337
23012.31857,8759,313.522112
22715.905904,8759,344.851271
23539.625809,8759,373.499736
23437.06632,8759,404.189965
23742.7485,8759,436.445638
24307.080354,8759,467.759102
24227.951065,8759,498.395947
24247.934431,8759,529.103191
23923.020755,8759,562.679288
23715.474997,8759,593.763632
24070.814182,8759,622.925315
24168.669528,8759,651.557278
23906.739569,8759,681.134322
23483.309491,8759,708.788479
23704.598881,8759,737.959295
23544.851389,8759,767.951336
23844.737866,8759,797.727474
23696.333735,8759,827.238758
23663.367725,8759,855.178087
23668.228649,8759,927.751083
