#{"t_start": 1634649730.6990619, "env_id": null}
r,l,t
-5560.954795,8759,56.920745
-4439.785674,8759,112.762466
-3277.527599,8759,168.834769
-2215.075621,8759,222.40621
-1384.350267,8759,275.373312
-1117.985374,8759,328.60764
-946.368736,8759,381.401958
-847.656336,8759,434.490879
-810.144709,8759,487.947306
-1013.919927,8759,541.962441
-1012.768436,8759,598.386737
-929.128332,8759,652.213455
-803.994716,8759,704.189009
-922.938964,8759,757.539221
-898.282712,8759,809.844783
-744.748494,8759,866.721648
-910.341875,8759,918.946019
-677.853367,8759,971.310567
-691.482316,8759,1021.518274
-893.610036,8759,1073.508103
-529.881145,8759,1124.968252
