#{"t_start": 1636368575.9559157, "env_id": null}
r,l,t
21669.420221,8759,77.516682
28943.001464,8759,153.842108
47118.713404,8759,230.526164
63482.815987,8759,309.461927
64263.94138,8759,337.592493
63298.427945,8759,366.442832
61299.795772,8759,395.657533
59657.782285,8759,424.497323
60114.525419,8759,451.526936
56744.642503,8759,527.4725
54251.021764,8759,556.373808
50480.934493,8759,585.023162
51558.961768,8759,612.783541
49527.19694,8759,639.958559
51054.520177,8759,667.062484
48107.643245,8759,694.120627
45262.70988,8759,721.217504
36514.814397,8759,748.197231
30007.269251,8759,775.23499
28437.426114,8759,843.043684
37784.693286,8759,870.364335
46661.373942,8759,897.371288
45094.940881,8759,924.534647
47220.880289,8759,951.661528
48436.838308,8759,980.257177
43481.735919,8759,1009.525921
42041.431592,8759,1038.548983
39522.642942,8759,1067.353943
41646.403541,8759,1096.30507
46513.169137,8759,1168.958591
