#{"t_start": 1637151438.9266276, "env_id": null}
r,l,t
-4765.697069,8759,26.59669
-3318.570558,8759,54.392537
-2681.786409,8759,81.242116
-3179.458374,8759,108.84971
-3207.633357,8759,135.515833
-3072.143762,8759,162.536791
-3265.223655,8759,189.652123
-3299.887847,8759,216.20241
-3349.417407,8759,242.543484
-3314.189258,8759,312.352364
-3245.141485,8759,339.440461
-3309.173915,8759,366.650367
-3328.084577,8759,393.96748
-3256.801548,8759,420.740638
-3284.683788,8759,447.309169
-3281.613732,8759,473.754678
-3319.684893,8759,500.309086
-3487.980621,8759,526.859395
-3356.436184,8759,553.453696
-3389.950894,8759,621.13633
