#{"t_start": 1636999003.8055062, "env_id": null}
r,l,t
-14852.20959,8759,26.546248
-12887.179708,8759,54.078462
-11965.40117,8759,80.977853
-12023.509995,8759,107.844751
-10866.380873,8759,134.687274
-9215.448688,8759,161.617137
-10749.074657,8759,188.482121
-9707.928572,8759,215.266917
-10891.493638,8759,242.095249
-9704.674372,8759,313.95296
-10787.14336,8759,340.966364
-11526.040768,8759,368.005769
-11331.591783,8759,394.999375
-11370.608276,8759,422.077488
-9328.10301,8759,449.044264
-9969.683162,8759,476.31612
-9228.4012,8759,503.314723
-10808.112696,8759,530.62921
-8482.277537,8759,557.604072
-10524.892724,8759,629.069289
-9999.886492,8759,656.113844
-8006.997398,8759,683.321986
-8022.54727,8759,710.448192
-8225.786367,8759,737.493212
-8447.954402,8759,764.636542
-9070.326236,8759,791.641565
-10302.125208,8759,818.853426
-10378.204846,8759,845.884818
-9397.554884,8759,872.877105
-8326.527801,8759,944.148535
