#{"t_start": 1638981330.3509293, "env_id": null}
r,l,t
-29946.766719,8759,33.72579
-29906.258125,8759,68.835656
-30247.277856,8759,103.717166
-29857.593739,8759,138.646443
-29014.950925,8759,173.509617
-28533.639661,8759,208.234184
-26778.853826,8759,243.052106
-27246.508158,8759,277.865323
-26582.83918,8759,312.658151
-26612.964541,8759,347.504766
-26677.538142,8759,380.294751
-26651.169441,8759,413.013187
-26417.937859,8759,445.444717
-26264.171504,8759,478.163243
-26296.699032,8759,510.565938
-27292.315817,8759,543.698921
-28663.35738,8759,576.800599
-29097.550425,8759,610.180075
-29017.62181,8759,643.791025
-28696.783311,8759,677.175329
-28181.099407,8759,710.657174
-28286.310008,8759,743.866722
-27755.540663,8759,777.07074
-27605.428973,8759,810.296822
-26950.145558,8759,842.961729
-27187.494782,8759,875.77039
-26867.841457,8759,908.636771
-26311.44037,8759,941.700843
-27290.556325,8759,975.18968
-26493.3063,8759,1008.134732
-26684.703686,8759,1041.391244
-28495.764175,8759,1075.232434
-28374.743549,8759,1108.484598
-28541.613326,8759,1142.091522
-28604.548428,8759,1175.477087
-27965.654026,8759,1208.98878
-27938.693376,8759,1242.289497
-28007.039161,8759,1275.645607
-27951.667323,8759,1309.145417
-27841.547221,8759,1342.832372
-26675.949664,8759,1420.311063
