#{"t_start": 1651497999.0049555, "env_id": "MicrogridControlGym-v0"}
r,l,t
-3180.268493,8759,43.222596
-3148.157545,8759,90.855665
-3117.261722,8759,135.103459
-3132.68246,8759,179.585474
-3199.873765,8759,223.986315
-3118.590477,8759,268.310501
-3122.440496,8759,312.612641
-3119.852843,8759,357.460745
-3121.06382,8759,402.030627
-3126.756878,8759,447.866505
-3126.455144,8759,492.133241
-3126.871741,8759,536.751676
-3127.16315,8759,582.762494
-3132.41925,8759,627.000324
-3125.36534,8759,672.101499
-3131.572371,8759,716.837676
-3121.931703,8759,762.341265
-3124.003613,8759,806.942094
-3132.370084,8759,851.774366
-3139.456415,8759,904.232579
-3123.580101,8759,957.827727
-3126.500063,8759,1015.428562
-3126.810281,8759,1065.370149
-3133.810864,8759,1117.154245
-3123.232132,8759,1175.606995
-3113.424888,8759,1235.430679
