#{"t_start": 1637153248.5074763, "env_id": null}
r,l,t
21531.643061,8759,26.699144
24084.452697,8759,53.812245
24886.450127,8759,81.173364
24450.994307,8759,108.971784
23870.811159,8759,135.859199
23228.338759,8759,162.882627
23723.146493,8759,189.769473
24411.63854,8759,216.782305
25127.477012,8759,243.687994
25255.343454,8759,319.246248
25425.897175,8759,346.387662
24840.360634,8759,373.675169
25401.966825,8759,401.662254
25454.960791,8759,428.831851
25319.272478,8759,456.276757
25088.6688,8759,484.143352
24824.094211,8759,511.392009
24693.874076,8759,538.766807
24974.92451,8759,566.172485
24827.534963,8759,642.512847
