#{"t_start": 1636009643.8220668, "env_id": null}
r,l,t
-15138.464812,8759,74.913418
-12664.08656,8759,148.111933
-9858.188909,8759,218.458261
-9714.259756,8759,288.215494
-9293.848041,8759,316.205287
-9378.911094,8759,344.053793
-9291.653939,8759,372.347619
-8980.636603,8759,400.044199
-10008.909802,8759,427.87211
-10057.808964,8759,494.766688
-10073.000268,8759,522.481923
-9599.778251,8759,550.209666
-8643.172811,8759,578.060746
-9804.103458,8759,605.828303
-8917.592503,8759,633.500063
-9601.741714,8759,663.431114
-9229.582779,8759,691.543722
-9711.056683,8759,719.461219
-9535.608097,8759,747.18862
-9328.241297,8759,816.896049
-9394.960402,8759,845.181798
-9040.788602,8759,873.346131
-9343.454887,8759,901.723507
-9807.687655,8759,930.019044
-11106.806574,8759,958.588198
-10982.210522,8759,987.474465
-8937.999058,8759,1016.591416
-9348.597684,8759,1044.785155
-9687.001262,8759,1072.755715
-10951.256555,8759,1142.61632
