#{"t_start": 1637154624.3804538, "env_id": null}
r,l,t
-4668.589913,8759,43.000271
-3337.771514,8759,86.803336
-2787.69837,8759,129.116147
-2833.685606,8759,171.104578
-2947.233448,8759,214.173626
-3053.309479,8759,256.947472
-3201.067208,8759,299.490001
-3245.140235,8759,342.170175
-3286.033778,8759,385.209136
-3331.495088,8759,470.378656
-3294.643782,8759,513.786378
-3220.563068,8759,557.118208
-3252.141267,8759,600.76147
-3301.581999,8759,643.887099
-3399.264193,8759,687.070879
-3270.86515,8759,732.841874
-3284.961491,8759,777.995438
-3287.799452,8759,819.736997
-3306.410329,8759,861.272576
-3349.142695,8759,946.965378
