#{"t_start": 1638989516.7855465, "env_id": null}
r,l,t
-29822.375525,8759,32.706003
-29810.035541,8759,65.726476
-27641.315215,8759,98.115767
-26630.643609,8759,130.326852
-26425.539631,8759,162.617062
-27342.465982,8759,195.175758
-27299.346632,8759,227.728833
-28235.096592,8759,260.651689
-29041.982227,8759,293.904914
-28874.295888,8759,327.105101
-27963.199643,8759,360.151983
-28149.495517,8759,393.04722
-27528.94721,8759,426.322607
-27162.627716,8759,459.460195
-27505.21203,8759,492.339999
-27088.960866,8759,524.903077
-27338.506097,8759,558.231854
-27919.216843,8759,591.008816
-28652.322742,8759,624.523118
-27910.388257,8759,657.357759
-28916.027797,8759,690.868996
-27790.804844,8759,723.805359
-27542.043261,8759,756.589823
-27137.827382,8759,789.228355
-26493.681676,8759,821.815988
-27665.348484,8759,854.668576
-26799.986445,8759,887.245543
-27597.529525,8759,919.927439
-29991.68029,8759,953.356127
-30108.048805,8759,986.753575
-29235.024348,8759,1019.911763
-27360.050583,8759,1052.753904
-27086.533646,8759,1085.505988
-26705.215378,8759,1118.329488
-26770.499424,8759,1198.308382
