#{"t_start": 1637054374.5635478, "env_id": null}
r,l,t
21492.189077,8759,30.501503
19695.910318,8759,62.296216
40484.82663,8759,90.268095
63486.203761,8759,117.256402
59438.887367,8759,144.096642
51545.166974,8759,171.290599
53800.667313,8759,198.132901
49060.655715,8759,225.084831
51063.649485,8759,251.924759
47176.699644,8759,323.674865
48343.746161,8759,350.990804
47836.916563,8759,378.289219
43774.435925,8759,405.491783
40185.921559,8759,432.796548
38933.937675,8759,460.359759
38701.722138,8759,488.447815
37101.640798,8759,515.714645
35987.046154,8759,543.055251
33952.716819,8759,570.369583
32779.25294,8759,644.584561
31699.550864,8759,672.66549
31693.177036,8759,700.239904
33371.633652,8759,731.440603
34557.220042,8759,762.977804
37380.938559,8759,791.56161
42114.946319,8759,820.236043
43917.785679,8759,849.440296
45905.067193,8759,878.033828
46240.445764,8759,907.117939
49666.230422,8759,985.039286
