#{"t_start": 1637060390.7289867, "env_id": null}
r,l,t
-14330.949504,8759,26.28006
-11402.820895,8759,56.425067
-9035.814753,8759,83.690756
-9859.015332,8759,110.415875
-9644.368484,8759,137.289724
-9729.061708,8759,163.836787
-10609.470136,8759,190.522408
-9933.2161,8759,217.433839
-10234.402895,8759,244.20399
-9390.969888,8759,312.812533
-8413.910679,8759,339.670436
-9043.377678,8759,366.574041
-9786.1149,8759,393.532155
-10229.54544,8759,420.446536
-8493.035429,8759,447.701145
-9159.501831,8759,475.037152
-10290.07211,8759,501.952492
-9099.791295,8759,528.902255
-9576.084848,8759,555.995851
-9577.151947,8759,629.088494
