#{"t_start": 1634653549.8937318, "env_id": null}
r,l,t
-5898.143876,8759,55.02537
-4813.995393,8759,111.171232
-3247.64156,8759,170.585247
-2312.044244,8759,221.473215
-1594.741805,8759,235.419455
-1057.366292,8759,248.370017
-982.322046,8759,261.403387
-1099.379416,8759,274.423872
-1188.766419,8759,287.49117
-1201.649559,8759,338.925866
-1229.975068,8759,352.306242
-1092.319413,8759,365.425367
-1133.121923,8759,378.841975
-1077.403002,8759,391.953174
-1005.93467,8759,405.436856
-942.183471,8759,418.541452
-919.121055,8759,432.84453
-813.683931,8759,445.899801
-837.465491,8759,459.032636
-1038.847244,8759,508.781
-1036.519497,8759,521.903386
-1302.319738,8759,535.015592
-1244.80594,8759,548.108061
-1221.822104,8759,561.222922
-1091.454621,8759,574.483247
-664.478288,8759,587.609088
-772.809084,8759,600.704649
-880.329075,8759,613.809921
-841.120782,8759,626.910199
-875.233621,8759,676.514054
-852.396243,8759,689.783851
-963.55224,8759,702.922187
-835.366543,8759,716.117826
-730.402354,8759,730.008299
-870.391304,8759,744.258247
-664.79408,8759,758.72136
-815.800776,8759,772.31162
-768.139561,8759,785.4145
-692.086783,8759,798.544525
-612.664093,8759,846.693358
-636.319691,8759,859.885998
-691.490131,8759,873.072613
-710.988077,8759,886.218142
-725.710054,8759,899.429063
-791.183324,8759,913.779122
-714.662176,8759,928.919394
-578.549743,8759,942.044774
-710.965525,8759,955.187672
-636.254183,8759,968.564771
-694.256396,8759,1016.65719
