#{"t_start": 1636990488.7933528, "env_id": null}
r,l,t
-5282.803484,8759,26.763075
-3443.371397,8759,54.056402
-1701.699804,8759,81.306942
-991.121853,8759,107.929156
-871.581718,8759,136.01392
-784.379927,8759,163.314819
-899.547781,8759,191.960985
-931.505383,8759,218.445633
-956.85363,8759,244.813128
-995.979953,8759,308.526
-1065.816213,8759,335.666269
-776.716379,8759,362.886118
-807.689463,8759,390.442241
-693.643143,8759,418.235153
-693.719883,8759,446.439035
-816.765066,8759,472.957733
-739.449843,8759,501.250869
-775.941775,8759,529.161602
-861.981891,8759,556.615134
-853.104069,8759,620.574618
-890.556158,8759,648.444628
-875.338674,8759,675.018867
-973.066254,8759,701.586053
-975.832924,8759,728.150547
-903.133926,8759,754.665661
-890.446274,8759,781.254688
-556.685851,8759,807.828319
-420.216564,8759,834.811018
-481.840267,8759,861.497325
-538.159325,8759,920.458854
