#{"t_start": 1652102833.0306182, "env_id": "MicrogridControlGym-v0"}
r,l,t
-5002.106799,8759,43.566605
-3234.118129,8759,93.475616
-3265.930634,8759,142.515217
-3216.480843,8759,192.220098
-3244.272791,8759,241.572843
-3179.708685,8759,291.062644
-3229.435264,8759,340.647159
-3218.721947,8759,391.388955
-3270.766778,8759,448.07835
-3215.240824,8759,502.527766
-3177.125385,8759,555.041341
-3196.028428,8759,609.50894
-3176.637415,8759,664.858735
-3242.948081,8759,713.930921
-3244.578359,8759,759.503715
-3170.35808,8759,807.233653
-3150.035028,8759,853.16059
-3154.572791,8759,899.85527
-3177.181858,8759,946.196728
-3177.000017,8759,995.243667
-3198.408941,8759,1041.078947
-3177.241238,8759,1088.773555
-3173.743838,8759,1135.594668
-3161.451833,8759,1181.867624
-3167.719065,8759,1227.865019
-3174.949965,8759,1275.687542
-3162.593031,8759,1322.1982
-3169.409461,8759,1370.076078
-3176.120956,8759,1416.606627
-3145.880426,8759,1464.190876
-3141.928159,8759,1509.99091
-3326.129394,8759,1556.530483
-3161.218595,8759,1603.837146
-3158.800245,8759,1649.792664
-3152.822115,8759,1696.468284
