#{"t_start": 1637073687.1203532, "env_id": null}
r,l,t
-5404.8079,8759,31.729684
-2879.241589,8759,64.257014
-1780.891734,8759,96.532303
-1953.152919,8759,128.748558
-2265.355014,8759,160.57807
-2268.817936,8759,192.32705
-2209.383216,8759,224.330121
-2214.028715,8759,257.349726
-2339.57436,8759,290.588895
-2021.774095,8759,357.346003
-1959.366214,8759,391.027593
-2111.578727,8759,424.843229
-2218.342873,8759,458.190006
-2029.572309,8759,490.359786
-2207.316528,8759,523.359471
-2378.713033,8759,557.614843
-2336.066461,8759,590.951267
-2254.429612,8759,624.529704
-2228.20639,8759,663.964279
-2259.258153,8759,744.989736
