#{"t_start": 1637916118.4078004, "env_id": null}
r,l,t
-27123.334403,8759,33.869444
-27366.818499,8759,66.985956
-26869.631294,8759,99.923889
-27260.258417,8759,133.250356
-27351.732859,8759,166.320703
-27451.087506,8759,199.304305
-25617.905203,8759,232.030514
-27019.808551,8759,265.690366
-26737.889344,8759,298.826952
-27540.199418,8759,333.12733
-27033.296225,8759,367.009479
-26675.899186,8759,400.518651
-27192.603724,8759,433.775141
-26047.371584,8759,467.586303
-25201.672165,8759,500.508455
-24830.739938,8759,533.456453
-24706.740776,8759,566.498701
-24963.246036,8759,599.424683
-25248.212866,8759,632.892226
-25668.03973,8759,665.893718
-24969.815854,8759,698.495241
-24922.739831,8759,731.612061
-26435.113862,8759,765.163337
-26358.728374,8759,799.127581
-26042.630854,8759,832.580304
-24916.775176,8759,865.587832
-24922.284549,8759,898.61986
-25437.800279,8759,931.757114
-24755.120289,8759,964.614389
-24697.959185,8759,1044.121121
