#{"t_start": 1637057242.1953967, "env_id": null}
r,l,t
-4786.813457,8759,27.515688
-2238.67959,8759,55.59455
-1074.638143,8759,83.591654
-1397.267971,8759,111.10993
-1344.288446,8759,138.478494
-1160.610896,8759,166.163778
-1381.140105,8759,193.434323
-1284.909305,8759,220.733792
-1092.45324,8759,247.928247
-820.718854,8759,309.138136
-879.350752,8759,336.989377
-717.070561,8759,365.387201
-653.195681,8759,393.172506
-713.380838,8759,421.797105
-819.224876,8759,449.651817
-798.479722,8759,477.092953
-894.276844,8759,506.009258
-921.741593,8759,533.650398
-995.88206,8759,561.589441
-859.525195,8759,624.644335
