#{"t_start": 1634651110.251673, "env_id": null}
r,l,t
-5949.965793,8759,58.055422
-4486.15671,8759,115.443064
-3252.743099,8759,170.283893
-2199.340668,8759,224.480463
-1177.861725,8759,277.209514
-1004.293857,8759,328.993965
-829.710602,8759,384.1875
-762.690756,8759,434.746844
-1017.601988,8759,486.244841
-1158.05118,8759,539.186008
-1133.913878,8759,592.095019
-1245.882174,8759,645.483125
-1180.355467,8759,699.498655
-1260.158883,8759,753.756253
-1168.310041,8759,806.145914
-1020.398182,8759,858.511037
-1033.003188,8759,909.883944
-752.361963,8759,961.698697
-874.609231,8759,1012.84629
-868.385505,8759,1064.406183
-709.209155,8759,1115.612573
-796.458246,8759,1166.771167
-824.339156,8759,1218.237947
-874.589146,8759,1270.899966
-912.515988,8759,1322.625896
-952.7678,8759,1374.753826
-809.296453,8759,1427.648942
-891.52766,8759,1479.542081
-878.71646,8759,1531.703789
-678.711555,8759,1581.923665
-733.265362,8759,1631.567688
-679.657957,8759,1681.350996
-759.876117,8759,1731.541656
-706.20163,8759,1783.207841
-663.507801,8759,1838.545195
-768.87114,8759,1888.414458
-776.956732,8759,1944.495274
-710.75422,8759,2001.639055
-846.989966,8759,2057.244977
-877.763053,8759,2114.977164
-804.40511,8759,2170.015532
-739.861525,8759,2225.765025
-749.340328,8759,2279.951781
-733.120665,8759,2336.159422
-696.277923,8759,2387.75906
