#{"t_start": 1636993966.2944458, "env_id": null}
r,l,t
-4584.238556,8759,32.398824
-2574.811889,8759,65.260913
-653.485862,8759,98.210283
-106.709035,8759,132.444487
743.512605,8759,170.910684
768.387674,8759,211.285091
793.332347,8759,251.934079
970.798257,8759,293.512636
1112.113252,8759,335.812028
1115.734758,8759,413.899096
1032.546245,8759,456.252738
1027.637723,8759,498.359017
1290.600186,8759,541.618424
896.554218,8759,582.729781
870.07404,8759,623.126079
982.350169,8759,663.967947
1142.277936,8759,704.667454
819.234494,8759,745.20191
996.971237,8759,785.376263
1003.520502,8759,858.182267
1054.889728,8759,897.949807
1080.794941,8759,938.097343
1023.759615,8759,978.792071
1038.843903,8759,1019.624751
1097.046522,8759,1060.435833
1115.826798,8759,1101.369005
1255.361291,8759,1142.819623
1145.069466,8759,1184.023595
1028.084383,8759,1224.061817
1136.929487,8759,1298.149575
