#{"t_start": 1637314304.3605125, "env_id": null}
r,l,t
-3894.022358,8759,36.620977
-3368.199084,8759,72.770917
-2736.506675,8759,108.446868
-2404.841914,8759,145.567736
-2440.128049,8759,181.372669
-2430.847978,8759,215.745395
-2479.327499,8759,251.263862
-2447.219863,8759,287.403391
-2626.739574,8759,324.988065
-2593.42988,8759,361.971876
-2554.522218,8759,399.7053
-2560.456228,8759,436.448646
-2615.02521,8759,474.14982
-2525.947629,8759,509.527752
-2579.714854,8759,545.398638
-2563.760513,8759,583.254947
-2575.253457,8759,622.214786
-2617.976505,8759,659.775026
-2620.895322,8759,696.857343
-2572.933982,8759,731.94485
-2620.842636,8759,766.914656
-2542.314697,8759,803.521318
-2554.212653,8759,840.530906
-2535.058648,8759,877.783773
-2664.118557,8759,914.222534
-2594.169342,8759,951.598813
-2591.013456,8759,990.559187
-2569.330231,8759,1028.159918
-2553.154348,8759,1065.909195
-2558.347655,8759,1147.160432
