#{"t_start": 1634654795.4409556, "env_id": null}
r,l,t
-5797.417852,8759,55.768642
-4764.349244,8759,110.269641
-3437.88658,8759,163.399536
-2294.406945,8759,214.213599
-1575.401565,8759,227.538434
-1431.177531,8759,240.469234
-1274.346177,8759,253.357158
-1322.505436,8759,266.229734
-1169.618755,8759,279.137551
-1310.313411,8759,330.262439
-1196.208237,8759,344.056441
-1226.367348,8759,357.487246
-1028.608491,8759,370.950932
-940.210242,8759,383.826829
-1018.335122,8759,396.727371
-1041.600173,8759,409.60826
-904.68548,8759,422.696579
-984.874973,8759,435.582486
-990.485401,8759,448.537893
-918.496033,8759,497.933366
-946.450939,8759,511.176391
-851.032502,8759,524.074215
-709.4518,8759,537.312464
-825.925741,8759,552.356333
-878.573043,8759,565.237864
-800.723186,8759,578.208065
-934.874079,8759,591.13373
-943.340398,8759,606.446836
-724.030236,8759,620.801806
-709.332172,8759,669.837035
-725.050224,8759,682.805046
-722.128756,8759,695.992356
-651.011289,8759,709.792706
-693.621838,8759,722.712279
-735.588165,8759,735.620718
-693.250553,8759,748.575735
-688.1172,8759,762.107334
-680.344874,8759,774.996103
-632.359498,8759,787.90056
-661.022342,8759,835.99093
-733.286727,8759,849.183725
-656.513009,8759,862.116148
-672.997311,8759,875.382207
-639.378792,8759,888.343108
-725.178103,8759,901.313927
-740.665026,8759,914.559409
-705.837346,8759,927.508947
-948.31262,8759,940.470432
-814.115382,8759,953.4119
-587.106592,8759,1001.905553
