#{"t_start": 1637933568.9645116, "env_id": null}
r,l,t
-24808.565224,8759,36.21811
-24696.458341,8759,72.695108
-24245.963367,8759,107.726303
-24456.797649,8759,146.449328
-24205.000669,8759,183.489125
-23961.100772,8759,217.331193
-23592.656187,8759,252.100081
-23571.14738,8759,290.050274
-23368.69964,8759,331.523692
-23290.52511,8759,371.635537
-23108.11184,8759,406.791669
-23684.302375,8759,446.798337
-23377.548613,8759,486.399985
-23098.352502,8759,523.414271
-22780.947562,8759,559.52238
-22885.75385,8759,593.251151
-22874.647648,8759,627.774714
-22787.542844,8759,661.688595
-22997.662684,8759,695.679893
-23339.551407,8759,729.668287
-22922.028795,8759,763.221349
-22699.559479,8759,796.627595
-23090.088551,8759,830.08664
-22805.198508,8759,863.668086
-22978.605801,8759,897.170646
-23325.491512,8759,930.975809
-23439.631295,8759,964.721485
-23081.552204,8759,998.275419
-23211.63303,8759,1033.636255
-23224.888923,8759,1071.84036
-22895.252726,8759,1110.697083
-22805.790544,8759,1151.369742
-23059.975106,8759,1192.225453
-23040.949151,8759,1234.160288
-22916.466367,8759,1275.887827
-23181.788719,8759,1316.318929
-23779.336956,8759,1356.722629
-23322.217172,8759,1397.705854
-22950.31494,8759,1439.348936
-23157.440712,8759,1481.719517
-23192.093934,8759,1520.187954
-22923.818366,8759,1562.040702
-23017.038628,8759,1600.346451
-23981.922344,8759,1640.468673
-22968.333637,8759,1680.625914
-23145.707019,8759,1719.813539
-22826.089339,8759,1755.141026
-22860.849295,8759,1790.72599
-23027.284793,8759,1825.728692
-22925.276383,8759,1899.533038
