,Energy Sold,PV production,Consumption,Net demand,Reward,Excess Energy,Hydrogen storage,Energy Bought
0,0,0.0,4.880902800606278e-05,4.880902800606278e-05,0.0,0.0,0.0,0.0
1,0,0.0,0.0004086366522315041,0.0004086366522315041,0.0,0.0,0.7150000000000001,0.0
2,0,0.0,0.002664596829790864,0.002664596829790864,0.0,0.0,1.4300000000000002,0.0
3,0,0.0,0.013532534805074083,0.013532534805074083,0.0,0.0,2.1450000000000005,0.0
4,0,0.0,0.05352898413467839,0.05352898413467839,0.0,0.0,2.8600000000000003,0.0
5,0,0.0,0.16492599849391218,0.16492599849391218,0.0,0.0,3.575,0.0
6,0,0.0,0.3958694217292829,0.3958694217292829,0.0,0.0,4.29,0.0
7,0,0.0,0.740576948005074,0.740576948005074,0.0,0.0,5.005,0.0
8,0,0.0,1.0811800962721838,1.0811800962721838,0.0,0.0,5.72,0.0
9,0,0.0,1.2367433050422938,1.2367433050422938,0.0,0.0,6.435,0.0
10,0,0.0,1.1237845726334832,1.1237845726334832,0.0,0.0,5.334999999999999,0.0
11,0,0.0,0.8518759922486386,0.8518759922486386,0.0,0.0,4.234999999999999,0.06209494040295738
12,0,0.0,0.6287315398579838,0.6287315398579838,0.0,0.0,4.949999999999999,1.9518759922486386
13,0,0.0,0.5948910510614877,0.5948910510614877,0.0,0.0,3.849999999999999,0.07873153985798376
14,0,0.0,0.7626272042419246,0.7626272042419246,0.0,0.0,2.749999999999999,0.04489105106148761
15,0,0.002254685558623506,1.0597350089824233,1.0574803234238,0.0,0.0,3.464999999999999,1.8626272042419247
16,0,0.01691014143602417,1.383860896345739,1.3669507549097148,0.0,0.0,2.364999999999999,0.5074803234237999
17,0,0.0,1.6321004404728996,1.6321004404728996,0.0,0.0,1.2649999999999988,0.8169507549097148
18,0,0.0,1.7249556535871104,1.7249556535871104,0.0,0.0,1.2649999999999988,1.6321004404728996
19,0,0.0,1.6316965249467017,1.6316965249467017,0.0,0.0,1.2649999999999988,1.7249556535871104
20,0,0.0,1.3811977767169288,1.3811977767169288,0.0,0.0,1.2649999999999988,1.6316965249467017
21,0,0.0,1.0462089208507497,1.0462089208507497,0.0,0.0,1.2649999999999988,1.3811977767169288
22,0,0.0,0.7091304153930155,0.7091304153930155,0.0,0.0,1.9799999999999989,2.14620892085075
23,0,0.0,0.4301093382043249,0.4301093382043249,0.0,0.0,2.694999999999999,1.8091304153930157
24,0,0.0,5.881837749164545e-05,5.881837749164545e-05,0.0,0.0,1.5949999999999989,0.0
25,0,0.0,0.0004924364579620252,0.0004924364579620252,0.0,0.0,1.5949999999999989,0.0
26,0,0.0,0.003211030184379271,0.003211030184379271,0.0,0.0,1.5949999999999989,0.0
27,0,0.0,0.016307674483597757,0.016307674483597757,0.0,0.0,1.5949999999999989,0.0
28,0,0.0,0.06450626296403048,0.06450626296403048,0.0,0.0,1.5949999999999989,0.0
29,0,0.0,0.19874765046328138,0.19874765046328138,0.0,0.0,2.3099999999999987,1.078904622351735
30,0,0.0,0.4770510300221528,0.4770510300221528,0.0,0.0,3.0249999999999986,1.2987476504632816
31,0,0.0,0.8924483086195122,0.8924483086195122,0.0,0.0,3.7399999999999984,1.577051030022153
32,0,0.0,1.302899517505075,1.302899517505075,0.0,0.0,4.454999999999998,1.9924483086195122
33,0,0.0,1.4903643352046905,1.4903643352046905,0.0,0.0,4.454999999999998,1.302899517505075
34,0,0.20010334300936183,1.3542409655081271,1.1541376224987654,0.0,0.0,4.454999999999998,1.4903643352046905
35,0,0.15726431589614936,1.0265716351066567,0.8693073192105074,0.0,0.0,3.354999999999998,0.6041376224987653
36,0,0.16233735885680767,0.7576665744639874,0.5953292156071798,0.0,0.0,2.254999999999998,0.31930731921050737
37,0,0.09469679043527192,0.71688635969948,0.6221895692642081,0.0,0.0,1.154999999999998,0.04532921560717973
38,0,0.01014608459105224,0.9190204479984296,0.9088743634073774,0.0,0.0,0.05499999999999794,0.07218956926420805
39,0,0.0,1.2770566500873146,1.2770566500873146,0.0,0.0,0.0,0.8813743634073784
40,0,0.0,1.6676515784555248,1.6676515784555248,0.0,0.0,0.0,1.2770566500873146
41,0,0.0,1.9667980235150673,1.9667980235150673,0.0,0.0,0.0,1.6676515784555248
42,0,0.0,2.0786952113947446,2.0786952113947446,0.0,0.0,0.0,1.9667980235150673
43,0,0.0,1.9663112763523967,1.9663112763523967,0.0,0.0,0.0,2.0786952113947446
44,0,0.0,1.6644423284042167,1.6644423284042167,0.0,0.0,0.0,1.9663112763523967
45,0,0.0,1.260756744307277,1.260756744307277,0.0,0.0,0.0,1.6644423284042167
46,0,0.0,0.8545529826615841,0.8545529826615841,0.0,0.0,0.0,1.260756744307277
47,0,0.0,0.5183125837712108,0.5183125837712108,0.0,0.0,0.7150000000000001,1.9545529826615842
48,0,0.0,5.83366716477512e-05,5.83366716477512e-05,0.0,0.0,0.0,0.16081258377121077
49,0,0.0,0.0004884035429163732,0.0004884035429163732,0.0,0.0,0.0,5.83366716477512e-05
50,0,0.0,0.003184732757100593,0.003184732757100593,0.0,0.0,0.0,0.0004884035429163732
51,0,0.0,0.01617411925079334,0.01617411925079334,0.0,0.0,0.0,0.003184732757100593
52,0,0.0,0.06397797494993204,0.06397797494993204,0.0,0.0,0.0,0.01617411925079334
53,0,0.0,0.197119963526456,0.197119963526456,0.0,0.0,0.7150000000000001,1.1639779749499322
54,0,0.0,0.47314411727145533,0.47314411727145533,0.0,0.0,1.4300000000000002,1.297119963526456
