#{"t_start": 1637332122.6323972, "env_id": null}
r,l,t
-29162.92029,8759,33.345749
-29323.796334,8759,67.311725
-30018.445259,8759,101.710964
-29427.335568,8759,135.475516
-27329.396968,8759,168.755183
-29003.886729,8759,202.487476
-29444.389501,8759,236.737818
-29634.67077,8759,271.048931
-29267.84773,8759,305.054379
-27201.977393,8759,339.125707
-28116.659886,8759,372.943488
-28547.267594,8759,407.041604
-27839.333153,8759,441.090638
-26499.075309,8759,474.786218
-27164.567352,8759,508.629037
-27325.998269,8759,542.559973
-26540.792346,8759,576.214391
-26907.787407,8759,610.284679
-28019.525471,8759,644.709141
-29277.040253,8759,679.309365
-29429.685104,8759,713.610251
-29821.757111,8759,748.354182
-29910.873333,8759,782.895109
-29006.956585,8759,817.472458
-27377.189186,8759,852.08621
-27337.657144,8759,886.623517
-27570.975557,8759,921.067993
-27034.652453,8759,955.591111
-26494.23625,8759,989.782899
-26250.774389,8759,1069.006922
