#{"t_start": 1636970603.3270643, "env_id": null}
r,l,t
-5458.292475,8759,26.66833
-3381.708806,8759,56.0607
-1656.879852,8759,83.756011
-952.681944,8759,112.025843
-947.262547,8759,141.436353
-791.447734,8759,171.016967
-1037.848261,8759,200.312802
-1231.042647,8759,229.186399
-1139.844653,8759,256.78845
-911.746572,8759,320.600622
-1266.344835,8759,348.610644
-1055.084093,8759,376.62667
-573.127692,8759,404.515789
-703.929728,8759,433.814219
-824.457932,8759,462.719138
-746.51067,8759,490.430683
-828.319761,8759,518.083918
-700.876917,8759,545.707687
-726.717315,8759,572.823029
-501.419386,8759,633.274433
-634.816724,8759,662.029612
-602.542357,8759,691.079845
-634.890301,8759,719.893728
-758.934131,8759,749.878069
-596.029982,8759,782.191498
-592.497171,8759,809.64158
-608.007469,8759,837.377642
-599.244127,8759,864.910294
-713.93219,8759,891.491365
-724.011736,8759,952.16317
