#{"t_start": 1637244668.3661294, "env_id": null}
r,l,t
-4952.005966,8759,52.294233
-4174.094722,8759,104.502724
-3472.313754,8759,156.476087
-3238.650626,8759,207.933295
-3224.432974,8759,259.452248
-3192.344265,8759,310.244406
-3217.32776,8759,362.599723
-3215.355478,8759,415.133309
-3193.526797,8759,469.15324
-3233.600439,8759,528.048218
-3272.652662,8759,585.56795
-3273.926541,8759,638.106816
-3308.951914,8759,690.006484
-3293.680221,8759,740.253398
-3267.453991,8759,784.969189
-3363.421401,8759,827.370311
-3336.429487,8759,872.907439
-3314.300389,8759,917.381289
-3294.565239,8759,962.837987
-3332.322188,8759,1009.59856
-3351.139005,8759,1055.502835
-3359.232628,8759,1098.853502
-3347.506759,8759,1144.478426
-3324.212116,8759,1188.156593
-3302.147273,8759,1233.162934
-3335.02427,8759,1276.68695
-3333.063767,8759,1321.258799
-3347.120332,8759,1366.584465
-3325.694036,8759,1411.831441
-3356.252908,8759,1492.569514
