#{"t_start": 1652189077.8849897, "env_id": "MicrogridControlGym-v0"}
r,l,t
-5282.216414,8759,48.411562
-5151.513312,8759,102.188456
-5168.608263,8759,154.928073
-5054.062213,8759,205.81505
-5022.968161,8759,264.00909
-4887.94398,8759,320.842238
-4836.578212,8759,377.245084
-4722.658479,8759,436.25201
-4712.245384,8759,489.801613
-4615.852718,8759,544.653433
-4453.392904,8759,602.344242
-4406.497881,8759,662.95366
-4447.935034,8759,717.007452
-4347.115781,8759,770.17454
-4293.71139,8759,822.223955
-4159.507045,8759,874.335552
-4133.631866,8759,930.02965
-4062.515999,8759,990.234082
-4062.828899,8759,1039.671507
-3990.652285,8759,1085.349229
-3931.715094,8759,1131.153411
-3871.885526,8759,1177.050907
-3738.912486,8759,1222.979598
-3737.329931,8759,1268.63938
-3691.531834,8759,1314.475151
-3559.613616,8759,1361.074558
-3549.55754,8759,1408.12567
-3443.299167,8759,1454.084252
-3337.225216,8759,1499.768759
-3385.004269,8759,1546.053066
-3268.789591,8759,1591.811286
-3284.269499,8759,1637.987039
-3251.431262,8759,1684.181193
-3215.373105,8759,1730.364549
-3291.622671,8759,1776.483854
-3295.341587,8759,1822.811856
-3270.554693,8759,1868.823233
-3269.118684,8759,1915.253617
-3377.061975,8759,1960.956267
-3284.234153,8759,2007.515452
-3293.753539,8759,2055.092185
-3280.855567,8759,2101.148185
-3242.290643,8759,2147.661263
-3213.028075,8759,2193.664602
-3202.118779,8759,2241.089107
-3240.814557,8759,2287.227592
-3236.967219,8759,2333.853436
-3203.517508,8759,2379.989862
-3207.149349,8759,2426.466518
-3231.242555,8759,2472.626981
-3228.433879,8759,2518.52403
-3163.124474,8759,2564.816375
-3223.76231,8759,2610.971887
-3227.02149,8759,2657.572189
-3208.393311,8759,2703.431842
-3189.195797,8759,2749.324791
-3170.062012,8759,2795.120587
-3231.164783,8759,2849.976071
-3185.457374,8759,2908.566496
-3201.704406,8759,2964.17876
-3196.542903,8759,3018.58786
-3231.648075,8759,3073.534504
-3238.748817,8759,3130.309813
-3174.85115,8759,3186.062232
-3197.019023,8759,3242.141401
-3195.951782,8759,3294.691841
-3233.612476,8759,3348.193911
-3188.122994,8759,3404.613483
-3243.579851,8759,3460.687862
-3226.688421,8759,3512.308352
-3204.119624,8759,3567.900776
-3226.068959,8759,3620.579543
-3177.075372,8759,3675.092644
-3212.074727,8759,3730.886877
-3187.080304,8759,3788.934541
-3149.597591,8759,3847.03451
-3183.406689,8759,3909.826194
-3200.894798,8759,3969.190169
-3181.940423,8759,4027.976928
-3252.169214,8759,4082.107913
-3224.824107,8759,4139.404854
-3260.972849,8759,4194.605286
-3216.338676,8759,4249.346087
-3213.402104,8759,4300.687761
-3212.48277,8759,4350.902133
-3208.903532,8759,4402.950233
-3218.746657,8759,4453.138932
-3177.353755,8759,4504.369446
-3263.169993,8759,4556.233352
-3210.826105,8759,4605.130737
-3195.443743,8759,4661.684036
-3216.759051,8759,4718.608508
-3189.146178,8759,4774.793034
-3191.536904,8759,4826.61612
-3185.214382,8759,4873.882397
-3191.168815,8759,4918.656221
-3208.470312,8759,4963.66924
-3274.366223,8759,5017.929297
-3182.834977,8759,5066.700685
-3221.304898,8759,5115.117269
