#{"t_start": 1636367256.7397752, "env_id": null}
r,l,t
20895.369634,8759,79.045742
23265.698267,8759,153.928935
41347.644609,8759,233.493191
66198.963038,8759,315.279444
66172.884328,8759,346.363255
65589.390035,8759,374.899567
66701.593493,8759,404.579997
59594.634863,8759,434.258415
61698.384395,8759,465.411405
65552.085479,8759,545.923345
63067.338908,8759,577.714754
64397.488849,8759,608.906448
62711.688601,8759,639.087465
63658.05992,8759,667.471358
58685.796562,8759,696.979593
57250.910078,8759,729.411356
56821.25525,8759,760.670597
56418.639554,8759,791.441238
55357.987347,8759,822.757254
55008.753382,8759,901.642475
54187.509588,8759,930.394829
51260.235109,8759,959.559312
51580.98505,8759,989.768109
50502.424433,8759,1018.659773
52121.591383,8759,1048.648583
48994.32234,8759,1079.647069
46249.726781,8759,1111.511533
45625.599167,8759,1142.941095
47421.863517,8759,1172.88977
45970.929953,8759,1249.340406
