#{"t_start": 1637855214.0863729, "env_id": null}
r,l,t
-3899.630048,8759,34.852097
-3331.590121,8759,69.202651
-2744.369906,8759,102.93185
-2471.701034,8759,137.282297
-2444.645032,8759,171.714885
-2440.607086,8759,205.663828
-2457.898649,8759,239.579667
-2527.125012,8759,273.170442
-2529.882456,8759,307.739508
-2463.071081,8759,342.478592
-2487.183169,8759,376.318675
-2475.972434,8759,410.76781
-2509.807886,8759,444.981094
-2497.052838,8759,479.050961
-2532.982218,8759,513.457064
-2543.107779,8759,547.555977
-2526.002056,8759,581.431352
-2547.070688,8759,615.806305
-2486.766543,8759,650.017522
-2492.260981,8759,683.843966
-2491.189736,8759,718.04406
-2465.240826,8759,752.295877
-2515.53546,8759,786.63864
-2439.908795,8759,820.716164
-2475.58634,8759,854.821574
-2466.60665,8759,889.386888
-2483.170929,8759,924.182799
-2472.146653,8759,958.656316
-2471.555565,8759,993.466382
