#{"t_start": 1637155829.320193, "env_id": null}
r,l,t
-4637.535756,8759,43.234442
-3602.398837,8759,84.51444
-3177.675365,8759,124.909798
-3193.973355,8759,164.75137
-3248.158987,8759,204.772557
-3246.887862,8759,244.414346
-3290.568704,8759,284.536049
-3242.509129,8759,324.495072
-3171.874129,8759,365.649469
-3231.73176,8759,446.229393
-3195.837904,8759,486.168847
-3161.163964,8759,526.300602
-3182.752223,8759,566.693938
-3247.517976,8759,606.870575
-3236.32472,8759,647.395344
-3269.444298,8759,687.773002
-3302.320296,8759,728.418161
-3235.868913,8759,769.238122
-3224.509246,8759,809.813873
-3203.032904,8759,891.005545
