#{"t_start": 1649948211.017143, "env_id": null}
r,l,t
-4994.47228,8759,12.893815
-4299.662401,8759,27.202357
-3802.567813,8759,40.965819
-3460.423151,8759,53.651657
-3426.338002,8759,68.367471
-3485.537149,8759,82.948054
-3388.608099,8759,97.865465
-3495.874449,8759,112.836282
-3389.43831,8759,127.996433
-3417.187972,8759,143.001914
-3447.067761,8759,158.157126
-3420.238786,8759,173.311229
-3381.685777,8759,188.462968
-3437.41396,8759,203.424664
-3419.070818,8759,218.125344
-3452.257105,8759,233.019359
-3598.226659,8759,248.078252
-3414.734152,8759,263.33393
-3547.998965,8759,279.027766
-3497.178973,8759,294.985106
-3467.070308,8759,308.87463
-3451.240531,8759,324.544811
-3437.818821,8759,338.001326
-3416.722351,8759,355.123421
-3539.058353,8759,372.533908
-3439.717891,8759,389.619473
-3463.177651,8759,403.404515
-3459.832045,8759,417.759305
-3448.589676,8759,431.501525
-3450.015267,8759,444.753707
-3447.998379,8759,457.632562
-3545.967459,8759,471.397902
-3468.195524,8759,485.234556
-3479.227957,8759,499.365892
-3452.683181,8759,512.409964
