#{"t_start": 1636997521.321182, "env_id": null}
r,l,t
-6109.954513,8759,32.56694
-3860.231857,8759,66.093043
-2534.937609,8759,99.414799
-2009.709544,8759,132.170942
-2158.934253,8759,164.324435
-2282.53949,8759,198.011633
-2207.599727,8759,231.376211
-2299.61813,8759,264.951413
-1664.56102,8759,298.418301
-1525.191024,8759,365.390083
-1740.558196,8759,398.686613
-2044.75831,8759,431.536329
-2237.488728,8759,465.970445
-2232.545466,8759,499.527103
-2169.654181,8759,534.387749
-2159.703167,8759,569.10597
-1811.57352,8759,603.240134
-1876.203781,8759,637.416937
-1974.001703,8759,672.283203
-1908.182621,8759,741.522528
-2168.232891,8759,775.056666
-1968.224988,8759,807.568565
-2322.314225,8759,841.703554
-2174.43652,8759,875.652312
-2198.967077,8759,910.273638
-2268.609004,8759,944.19666
-2330.615142,8759,978.924421
-2030.490228,8759,1012.466155
-2008.782902,8759,1046.483192
-1925.452828,8759,1116.024635
