#{"t_start": 1652085923.225023, "env_id": "MicrogridControlGym-v0"}
r,l,t
-3208.98423,8759,48.283975
-3124.024275,8759,95.057692
-3166.956958,8759,138.643957
-3156.033135,8759,182.437718
-3129.552915,8759,226.071352
-3135.395551,8759,270.445526
-3119.159207,8759,313.981901
-3133.290629,8759,358.267069
-3131.329032,8759,402.414263
-3118.892714,8759,445.757822
-3125.709963,8759,489.827473
-3124.449413,8759,536.797201
-3126.479331,8759,580.509974
-3133.214275,8759,624.882836
-3120.724793,8759,669.304808
-3128.832246,8759,713.345283
-3114.995302,8759,757.219992
-3185.789135,8759,801.331802
-3133.139521,8759,845.493959
-3121.595227,8759,889.555188
-3131.856133,8759,933.484785
-3126.145986,8759,977.854554
-3133.568434,8759,1022.06435
-3128.91001,8759,1065.783734
-3123.292219,8759,1109.596677
-3127.546156,8759,1153.415981
-3120.105454,8759,1197.617414
-3121.620274,8759,1241.806613
-3131.767416,8759,1284.750599
-3129.341316,8759,1326.755309
-3119.002603,8759,1371.522984
-3122.701902,8759,1425.267312
-3120.532426,8759,1475.202102
-3124.325968,8759,1526.57631
-3118.815872,8759,1577.716075
