#{"t_start": 1637871793.7432263, "env_id": null}
r,l,t
0,8759,27.213639
0,8759,53.639789
0,8759,81.569976
0,8759,109.560806
0,8759,137.429399
0,8759,165.920382
0,8759,193.882768
0,8759,221.820405
0,8759,249.934255
0,8759,277.952121
0,8759,306.248925
0,8759,334.590511
0,8759,362.54811
0,8759,390.217789
0,8759,417.84436
0,8759,446.40132
0,8759,474.419584
0,8759,502.658442
0,8759,530.625897
0,8759,558.88428
0,8759,586.809072
0,8759,615.050435
0,8759,642.813326
0,8759,670.97171
0,8759,698.892344
0,8759,726.837297
0,8759,755.072024
0,8759,782.768356
0,8759,810.81175
0,8759,866.699161
