#{"t_start": 1652693899.3485615, "env_id": "MicrogridControlGym-v0"}
r,l,t
-5468.43604,8759,43.976733
-5446.288903,8759,93.141997
-5303.78069,8759,143.596019
-5273.77709,8759,194.930434
-5346.53985,8759,244.847727
-5129.370804,8759,302.364328
-5027.317431,8759,353.685334
-4927.645748,8759,408.806728
-4962.284696,8759,454.567514
-4955.053762,8759,499.706374
-4799.238986,8759,544.80543
-4700.889392,8759,590.164772
-4749.404953,8759,642.223911
-4567.926025,8759,694.155259
-4494.547587,8759,747.428811
-4435.751147,8759,798.731781
-4343.008068,8759,849.622852
-4274.928863,8759,897.111564
-4222.674522,8759,945.256541
-4161.755555,8759,992.733538
-4113.795433,8759,1042.347926
-4034.638159,8759,1090.406198
-3926.307173,8759,1135.640688
-3885.711576,8759,1180.973868
-3832.218507,8759,1226.283689
-3780.415351,8759,1271.551858
-3738.597553,8759,1317.693617
-3646.813482,8759,1363.20513
-3695.116084,8759,1408.265024
-3607.530027,8759,1453.355026
-3519.743814,8759,1498.869827
-3486.334783,8759,1544.391053
-3456.499022,8759,1590.056766
-3520.167012,8759,1635.379361
-3442.225979,8759,1680.82803
-3502.345411,8759,1726.136672
-3494.730211,8759,1772.034581
-3440.613805,8759,1817.337498
-3445.926468,8759,1862.78048
-3449.428325,8759,1907.813785
-3414.764619,8759,1953.15213
-3533.539639,8759,1998.414734
-3530.44917,8759,2043.498186
-3484.64688,8759,2088.627331
-3489.489049,8759,2133.759237
-3509.272955,8759,2178.920655
-3454.409213,8759,2224.132646
-3456.425274,8759,2269.209007
-3463.098589,8759,2314.518572
-3467.79478,8759,2359.628187
-3507.054248,8759,2404.638653
-3469.025797,8759,2449.715542
-3476.771404,8759,2495.078106
-3449.391423,8759,2540.071207
-3461.191582,8759,2585.490312
-3476.724623,8759,2630.489323
-3453.561996,8759,2675.521981
-3430.014323,8759,2720.956197
-3440.507228,8759,2766.287867
-3454.238978,8759,2811.510617
-3415.967215,8759,2856.857069
-3401.069166,8759,2902.284405
-3399.994361,8759,2947.669957
-3380.230857,8759,2992.511236
-3405.315063,8759,3036.890146
-3452.098231,8759,3081.233562
-3474.370225,8759,3124.309369
-3451.644829,8759,3167.450892
-3527.716712,8759,3210.662043
-3517.674611,8759,3254.253826
-3497.962886,8759,3297.1978
-3532.838782,8759,3340.298485
-3506.133083,8759,3383.510988
-3496.073538,8759,3426.472173
-3576.526851,8759,3469.437044
-3534.413331,8759,3512.460421
-3556.64375,8759,3555.466345
-3578.475553,8759,3598.788793
-3602.906387,8759,3642.370081
-3534.403449,8759,3685.416251
-3516.004983,8759,3728.532285
-3550.782729,8759,3771.539511
-3537.25587,8759,3814.78877
-3480.432786,8759,3857.700083
-3560.641831,8759,3901.034712
-3519.185755,8759,3944.34697
-3496.203488,8759,3987.59628
-3496.95772,8759,4030.729207
-3508.465321,8759,4073.633264
-3538.706758,8759,4116.835235
-3579.019068,8759,4160.231323
-3498.633947,8759,4203.860621
-3547.391795,8759,4246.726505
-3492.347059,8759,4289.955129
-3623.819052,8759,4333.393149
-3560.062459,8759,4376.301173
-3483.17398,8759,4419.850987
-3538.258946,8759,4463.26064
-3516.067022,8759,4506.963826
-3528.748517,8759,4549.943431
