#{"t_start": 1636547858.2763302, "env_id": null}
r,l,t
-5423.540108,8759,29.889913
-3634.866357,8759,61.608449
-1877.792254,8759,94.208809
-1257.633947,8759,122.546922
-1135.325387,8759,149.568898
-1273.481529,8759,176.81716
-937.057569,8759,203.650316
-768.521106,8759,230.669147
-542.626472,8759,257.876314
-667.931411,8759,317.837008
-586.88919,8759,345.099733
-621.030666,8759,372.517617
-724.444851,8759,400.282917
-744.584865,8759,428.260651
-911.508568,8759,455.270675
-860.731183,8759,483.093512
-969.008199,8759,510.203803
-844.345428,8759,537.63019
-922.600723,8759,565.571066
-818.955406,8759,626.485927
-662.565831,8759,653.93539
-596.770642,8759,681.489902
-700.050579,8759,708.760811
-653.368123,8759,736.0505
-635.207603,8759,763.1251
-721.046851,8759,790.196854
-804.567439,8759,817.382379
-688.4334,8759,844.59805
-692.964026,8759,872.892558
-756.074145,8759,934.797386
