#{"t_start": 1657029214.0266404, "env_id": "MicrogridControlGym-v0"}
r,l,t
-12652.208374,8759,38.839584
-9892.182565,8759,82.686856
-9582.693744,8759,126.143446
-9561.620794,8759,170.126457
-9510.991621,8759,213.573582
