#{"t_start": 1650032030.9234316, "env_id": null}
r,l,t
-3202.593822,8759,23.422365
-3223.045527,8759,50.409901
-3126.502264,8759,74.320311
-3135.76011,8759,98.645227
-3161.667051,8759,125.605802
-3161.406999,8759,151.904232
-3122.28297,8759,179.162716
-3130.855816,8759,202.344153
-3130.617781,8759,225.782321
-3128.011908,8759,250.17439
-3121.935659,8759,272.964538
-3134.271564,8759,295.648686
-3119.572854,8759,318.417984
-3118.657593,8759,341.23722
-3123.322207,8759,371.941811
-3123.984128,8759,401.296633
-3118.246903,8759,429.857072
-3123.575309,8759,456.433979
-3120.171424,8759,491.806602
-3117.499089,8759,520.592686
-3128.105023,8759,548.742175
-3119.942535,8759,575.894453
