Date et heure,Production Photovolta�que (W),Consumption,Puissance autoconsommée (W),Puissance inject�e (W),Puissance soutir�e (W)
11/04 03:00,0,305.5,0,0,305.5
11/04 04:00,0,317.3,0,0,317.3
11/04 05:00,0,362.68,0,0,362.68
11/04 06:00,76.07,475.93,76.07,0,399.86
11/04 07:00,118.05,561.68,118.05,0,443.63
11/04 08:00,132.19,591.9,132.19,0,459.71
11/04 09:00,66.46,587.1,66.46,0,520.64
11/04 10:00,161.06,576.07,161.06,0,415.01
11/04 11:00,234.68,637.16,234.68,0,402.48
11/04 12:00,389.49,608.11,389.49,0,218.62
11/04 13:00,424.91,559.22,424.91,0,134.31
11/04 14:00,115.08,497.99,115.08,0,382.91
11/04 15:00,55.29,471.03,55.29,0,415.74
11/04 16:00,132.95,475.54,132.95,0,342.59
11/04 17:00,43.49,512.27,43.49,0,468.78
11/04 18:00,0,638.49,0,0,638.49
11/04 19:00,0,750.69,0,0,750.69
11/04 20:00,0,801.92,0,0,801.92
11/04 21:00,0,729.14,0,0,729.14
11/04 22:00,0,574.52,0,0,574.52
11/04 23:00,0,440.2,0,0,440.2
12/04 00:00,0,356.13,0,0,356.13
12/04 01:00,0,313.8,0,0,313.8
12/04 02:00,0,304.53,0,0,304.53
12/04 03:00,0,301.99,0,0,301.99
12/04 04:00,0,313.03,0,0,313.03
12/04 05:00,0,360.32,0,0,360.32
12/04 06:00,63.62,483.6,63.62,0,419.98
12/04 07:00,223.87,572.94,223.87,0,349.07
12/04 08:00,504.19,574.61,504.19,0,70.42
12/04 09:00,701.91,563.16,563.16,138.75,0
12/04 10:00,791.92,569.03,569.03,222.89,0
12/04 11:00,826.37,602.05,602.05,224.32,0
12/04 12:00,0,571.94,0,0,571.94
12/04 13:00,798.63,534.69,534.69,263.94,0
12/04 14:00,611.84,469.23,469.23,142.61,0
12/04 15:00,414.43,444.59,414.43,0,30.16
12/04 16:00,255.87,460.85,255.87,0,204.98
12/04 17:00,28.54,512.47,28.54,0,483.93
12/04 18:00,0,648.59,0,0,648.59
12/04 19:00,0,745.81,0,0,745.81
12/04 20:00,0,788.26,0,0,788.26
12/04 21:00,0,710.61,0,0,710.61
12/04 22:00,0,564.95,0,0,564.95
12/04 23:00,0,433.47,0,0,433.47
13/04 00:00,0,356.85,0,0,356.85
13/04 01:00,0,317.31,0,0,317.31
13/04 02:00,0,308.37,0,0,308.37
13/04 03:00,0,303.73,0,0,303.73
13/04 04:00,0,316.79,0,0,316.79
13/04 05:00,0,363.43,0,0,363.43
13/04 06:00,97.47,486.81,97.47,0,389.34
13/04 07:00,309.51,592.61,309.51,0,283.1
13/04 08:00,529.45,602.94,529.45,0,73.49
13/04 09:00,700.76,567.28,567.28,133.48,0
13/04 10:00,811.38,575.04,575.04,236.34,0
13/04 11:00,873.33,616.78,616.78,256.55,0
13/04 12:00,734.71,600.25,600.25,134.46,0
13/04 13:00,771.02,569.5,569.5,201.52,0
13/04 14:00,648.47,509.8,509.8,138.67,0
13/04 15:00,521.13,485.24,485.24,35.89,0
13/04 16:00,298.37,484.1,298.37,0,185.73
13/04 17:00,39.53,513.92,39.53,0,474.39
13/04 18:00,0,622.72,0,0,622.72
13/04 19:00,0,721.56,0,0,721.56
13/04 20:00,0,765.22,0,0,765.22
13/04 21:00,0,703.73,0,0,703.73
13/04 22:00,0,571.56,0,0,571.56
13/04 23:00,0,450.97,0,0,450.97
14/04 00:00,0,373.56,0,0,373.56
14/04 01:00,0,329.67,0,0,329.67
14/04 02:00,0,313.72,0,0,313.72
14/04 03:00,0,302.77,0,0,302.77
14/04 04:00,0,312.79,0,0,312.79
14/04 05:00,0,333.09,0,0,333.09
14/04 06:00,105.3,394.27,105.3,0,288.97
14/04 07:00,339.37,521.19,339.37,0,181.82
14/04 08:00,563.88,627.32,563.88,0,63.44
14/04 09:00,724.53,647.34,647.34,77.19,0
14/04 10:00,829.32,637.06,637.06,192.26,0
14/04 11:00,885.27,698.88,698.88,186.39,0
14/04 12:00,896.19,678.97,678.97,217.22,0
14/04 13:00,811.68,630.23,630.23,181.45,0
14/04 14:00,699.88,563.25,563.25,136.63,0
14/04 15:00,528.53,515.53,515.53,13,0
14/04 16:00,318.18,499.85,318.18,0,181.67
14/04 17:00,23.3,522.89,23.3,0,499.59
14/04 18:00,0,615.44,0,0,615.44
14/04 19:00,0,703.22,0,0,703.22
14/04 20:00,0,725.12,0,0,725.12
14/04 21:00,0,676.99,0,0,676.99
14/04 22:00,0,571.01,0,0,571.01
14/04 23:00,0,463.77,0,0,463.77
15/04 00:00,0,389.47,0,0,389.47
15/04 01:00,0,337.29,0,0,337.29
15/04 02:00,0,308.38,0,0,308.38
15/04 03:00,0,306.89,0,0,306.89
15/04 04:00,0,307.03,0,0,307.03
15/04 05:00,0,321.26,0,0,321.26
15/04 06:00,105.8,357.76,105.8,0,251.96
15/04 07:00,332.63,446.16,332.63,0,113.53
15/04 08:00,542.14,575.53,542.14,0,33.39
15/04 09:00,694.22,692.46,692.46,1.76,0
15/04 10:00,795.62,757.55,757.55,38.07,0
15/04 11:00,847.28,805.28,805.28,42,0
15/04 12:00,852.76,733.81,733.81,118.95,0
15/04 13:00,781.7,645.67,645.67,136.03,0
15/04 14:00,669.93,588.71,588.71,81.22,0
15/04 15:00,477.28,543.94,477.28,0,66.66
15/04 16:00,277.91,524.42,277.91,0,246.51
15/04 17:00,24.52,539.74,24.52,0,515.22
15/04 18:00,0,625.72,0,0,625.72
15/04 19:00,0,726.48,0,0,726.48
15/04 20:00,0,784.01,0,0,784.01
15/04 21:00,0,694.23,0,0,694.23
15/04 22:00,0,562.4,0,0,562.4
15/04 23:00,0,437.82,0,0,437.82
16/04 00:00,0,359.41,0,0,359.41
16/04 01:00,0,319.05,0,0,319.05
16/04 02:00,0,312.59,0,0,312.59
16/04 03:00,0,311.64,0,0,311.64
16/04 04:00,0,321.35,0,0,321.35
16/04 05:00,0,365.22,0,0,365.22
16/04 06:00,43.22,484.97,43.22,0,441.75
16/04 07:00,112.32,595.98,112.32,0,483.66
16/04 08:00,187.8,653.04,187.8,0,465.24
16/04 09:00,271.98,659.63,271.98,0,387.65
16/04 10:00,116.78,652.63,116.78,0,535.85
16/04 11:00,315.73,690.98,315.73,0,375.25
16/04 12:00,230.53,636.47,230.53,0,405.94
16/04 13:00,347.31,587.65,347.31,0,240.34
16/04 14:00,112.81,516.06,112.81,0,403.25
16/04 15:00,163.47,492.9,163.47,0,329.43
16/04 16:00,94.86,486.72,94.86,0,391.86
16/04 17:00,9.67,532.47,9.67,0,522.8
16/04 18:00,0,659.5,0,0,659.5
16/04 19:00,0,757.6,0,0,757.6
16/04 20:00,0,799.43,0,0,799.43
16/04 21:00,0,721.4,0,0,721.4
16/04 22:00,0,568.14,0,0,568.14
16/04 23:00,0,429.31,0,0,429.31
17/04 00:00,0,347.48,0,0,347.48
17/04 01:00,0,311.49,0,0,311.49
17/04 02:00,0,306.32,0,0,306.32
17/04 03:00,0,305.83,0,0,305.83
17/04 04:00,0,312.74,0,0,312.74
17/04 05:00,2.55,359.44,2.55,0,356.89
17/04 06:00,110.08,490.16,110.08,0,380.08
17/04 07:00,328.38,583.12,328.38,0,254.74
17/04 08:00,525.48,579.34,525.48,0,53.86
17/04 09:00,674.69,556.45,556.45,118.24,0
17/04 10:00,759.96,560.73,560.73,199.23,0
17/04 11:00,822.09,602.75,602.75,219.34,0
17/04 12:00,841.52,571.44,571.44,270.08,0
17/04 13:00,754.67,525.27,525.27,229.4,0
17/04 14:00,655.01,466.75,466.75,188.26,0
17/04 15:00,485.39,442.97,442.97,42.42,0
17/04 16:00,280.57,448.87,280.57,0,168.3
17/04 17:00,50.88,497.56,50.88,0,446.68
17/04 18:00,0,614.07,0,0,614.07
17/04 19:00,0,726.42,0,0,726.42
17/04 20:00,0,768.55,0,0,768.55
17/04 21:00,0,711.94,0,0,711.94
17/04 22:00,0,566.53,0,0,566.53
17/04 23:00,0,421.71,0,0,421.71
18/04 00:00,0,350.72,0,0,350.72
18/04 01:00,0,312.13,0,0,312.13
18/04 02:00,0,307.29,0,0,307.29
18/04 03:00,0,302.59,0,0,302.59
18/04 04:00,0,312.01,0,0,312.01
18/04 05:00,1.06,355.7,1.06,0,354.64
18/04 06:00,104.04,468.78,104.04,0,364.74
18/04 07:00,299.02,555.01,299.02,0,255.99
18/04 08:00,526.02,583.54,526.02,0,57.52
18/04 09:00,649.06,574.76,574.76,74.3,0
18/04 10:00,736.87,565.58,565.58,171.29,0
18/04 11:00,761.39,628.49,628.49,132.9,0
18/04 12:00,771.55,599.45,599.45,172.1,0
18/04 13:00,670.08,552.83,552.83,117.25,0
18/04 14:00,495.62,490.43,490.43,5.19,0
18/04 15:00,362.26,462.41,362.26,0,100.15
18/04 16:00,184.94,470.17,184.94,0,285.23
18/04 17:00,50.67,500.61,50.67,0,449.94
18/04 18:00,0,614.11,0,0,614.11
18/04 19:00,0,720.83,0,0,720.83
18/04 20:00,0,776.84,0,0,776.84
18/04 21:00,0,718,0,0,718
18/04 22:00,0,569.91,0,0,569.91
18/04 23:00,0,436.23,0,0,436.23
19/04 00:00,0,352.69,0,0,352.69
19/04 01:00,0,309.96,0,0,309.96
19/04 02:00,0,301.21,0,0,301.21
19/04 03:00,0,299.2,0,0,299.2
19/04 04:00,0,309.6,0,0,309.6
19/04 05:00,3.9,358.22,3.9,0,354.32
19/04 06:00,111.19,482.64,111.19,0,371.45
19/04 07:00,301.15,567.58,301.15,0,266.43
19/04 08:00,523.63,562.81,523.63,0,39.18
19/04 09:00,660.65,555.44,555.44,105.21,0
19/04 10:00,742.19,558.56,558.56,183.63,0
19/04 11:00,802.68,592.13,592.13,210.55,0
19/04 12:00,805.21,572.46,572.46,232.75,0
19/04 13:00,743.89,532.11,532.11,211.78,0
19/04 14:00,642.87,463.45,463.45,179.42,0
19/04 15:00,492.92,440.79,440.79,52.13,0
19/04 16:00,290.23,454.08,290.23,0,163.85
19/04 17:00,41.19,502.95,41.19,0,461.76
19/04 18:00,0,632.74,0,0,632.74
19/04 19:00,0,720.42,0,0,720.42
19/04 20:00,0,765.92,0,0,765.92
19/04 21:00,0,701.76,0,0,701.76
19/04 22:00,0,561.55,0,0,561.55
19/04 23:00,0,429.74,0,0,429.74
20/04 00:00,0,351.64,0,0,351.64
20/04 01:00,0,311.9,0,0,311.9
20/04 02:00,0,304.18,0,0,304.18
20/04 03:00,0,299.98,0,0,299.98
20/04 04:00,0,311.13,0,0,311.13
20/04 05:00,6.86,355.57,6.86,0,348.71
20/04 06:00,117.88,475.08,117.88,0,357.2
20/04 07:00,337.17,580.62,337.17,0,243.45
20/04 08:00,531.34,589.97,531.34,0,58.63
20/04 09:00,672.1,559.98,559.98,112.12,0
20/04 10:00,763.47,570.89,570.89,192.58,0
20/04 11:00,818.08,612.53,612.53,205.55,0
20/04 12:00,817.99,593.92,593.92,224.07,0
20/04 13:00,749.47,561.26,561.26,188.21,0
20/04 14:00,624.02,501.88,501.88,122.14,0
20/04 15:00,486.4,478.99,478.99,7.41,0
20/04 16:00,245.22,474.93,245.22,0,229.71
20/04 17:00,50.3,499.74,50.3,0,449.44
20/04 18:00,0,600.23,0,0,600.23
20/04 19:00,0,685.06,0,0,685.06
20/04 20:00,0,734.8,0,0,734.8
20/04 21:00,0,688.98,0,0,688.98
20/04 22:00,0,564.55,0,0,564.55
20/04 23:00,0,447.41,0,0,447.41
21/04 00:00,0,368.93,0,0,368.93
21/04 01:00,0,324.77,0,0,324.77
21/04 02:00,0,309.05,0,0,309.05
21/04 03:00,0,299.01,0,0,299.01
21/04 04:00,0,307.65,0,0,307.65
21/04 05:00,1.52,326.81,1.52,0,325.29
21/04 06:00,20.45,387.33,20.45,0,366.88
21/04 07:00,27.35,513.03,27.35,0,485.68
21/04 08:00,87.62,612.31,87.62,0,524.69
21/04 09:00,93.1,633.04,93.1,0,539.94
21/04 10:00,144.1,622.74,144.1,0,478.64
21/04 11:00,96.99,676.3,96.99,0,579.31
21/04 12:00,322.25,661.35,322.25,0,339.1
21/04 13:00,582.39,619.13,582.39,0,36.74
21/04 14:00,202.17,555.38,202.17,0,353.21
21/04 15:00,449.9,506.32,449.9,0,56.42
21/04 16:00,178.39,486.61,178.39,0,308.22
21/04 17:00,55.67,508.63,55.67,0,452.96
21/04 18:00,0,591.32,0,0,591.32
21/04 19:00,0,668.7,0,0,668.7
21/04 20:00,0,701.28,0,0,701.28
21/04 21:00,0,663.17,0,0,663.17
21/04 22:00,0,562.6,0,0,562.6
21/04 23:00,0,459.66,0,0,459.66
22/04 00:00,0,384.3,0,0,384.3
22/04 01:00,0,331.49,0,0,331.49
22/04 02:00,0,306.89,0,0,306.89
22/04 03:00,0,303.17,0,0,303.17
22/04 04:00,0,302.91,0,0,302.91
22/04 05:00,1.08,316.73,1.08,0,315.65
22/04 06:00,87.78,356.21,87.78,0,268.43
22/04 07:00,283.63,440.95,283.63,0,157.32
22/04 08:00,353.61,569.04,353.61,0,215.43
22/04 09:00,568.94,681.6,568.94,0,112.66
22/04 10:00,708.63,740.13,708.63,0,31.5
22/04 11:00,783.7,787.61,783.7,0,3.91
22/04 12:00,794.96,719.22,719.22,75.74,0
22/04 13:00,724.67,631.45,631.45,93.22,0
22/04 14:00,409.51,573.56,409.51,0,164.05
22/04 15:00,180.65,532.07,180.65,0,351.42
22/04 16:00,91.6,511.3,91.6,0,419.7
22/04 17:00,41.4,526.49,41.4,0,485.09
22/04 18:00,0,604.43,0,0,604.43
22/04 19:00,0,697.15,0,0,697.15
22/04 20:00,0,759.53,0,0,759.53
22/04 21:00,0,687.71,0,0,687.71
22/04 22:00,0,561.86,0,0,561.86
22/04 23:00,0,437.94,0,0,437.94
23/04 00:00,0,357.26,0,0,357.26
23/04 01:00,0,315.72,0,0,315.72
23/04 02:00,0,308.14,0,0,308.14
23/04 03:00,0,306.95,0,0,306.95
23/04 04:00,0,316.12,0,0,316.12
23/04 05:00,7.85,358.72,7.85,0,350.87
23/04 06:00,61.68,475.9,61.68,0,414.22
23/04 07:00,231.41,587.37,231.41,0,355.96
23/04 08:00,418.67,645.08,418.67,0,226.41
23/04 09:00,587.74,652.66,587.74,0,64.92
23/04 10:00,680.29,638.86,638.86,41.43,0
23/04 11:00,788.66,679.06,679.06,109.6,0
23/04 12:00,797.19,633.68,633.68,163.51,0
23/04 13:00,692.11,587.1,587.1,105.01,0
23/04 14:00,275.77,515.84,275.77,0,240.07
23/04 15:00,116.79,489.42,116.79,0,372.63
23/04 16:00,274.61,482.4,274.61,0,207.79
23/04 17:00,35.25,523.28,35.25,0,488.03
23/04 18:00,0,644.33,0,0,644.33
23/04 19:00,0,734.68,0,0,734.68
23/04 20:00,0,779.54,0,0,779.54
23/04 21:00,0,714.25,0,0,714.25
23/04 22:00,0,564.17,0,0,564.17
23/04 23:00,0,424.45,0,0,424.45
24/04 00:00,0,340.7,0,0,340.7
24/04 01:00,0,305.71,0,0,305.71
24/04 02:00,0,299.17,0,0,299.17
24/04 03:00,0,298.46,0,0,298.46
24/04 04:00,0,306.08,0,0,306.08
24/04 05:00,11.15,351.32,11.15,0,340.17
24/04 06:00,120.76,479.07,120.76,0,358.31
24/04 07:00,160.07,573.1,160.07,0,413.03
24/04 08:00,90.49,571.99,90.49,0,481.5
24/04 09:00,288.31,546,288.31,0,257.69
24/04 10:00,117.43,550.44,117.43,0,433.01
24/04 11:00,185.28,590.12,185.28,0,404.84
24/04 12:00,138.25,562.03,138.25,0,423.78
24/04 13:00,60.71,520.25,60.71,0,459.54
24/04 14:00,445.41,461.59,445.41,0,16.18
24/04 15:00,502.83,439.28,439.28,63.55,0
24/04 16:00,245.48,444.45,245.48,0,198.97
24/04 17:00,33.12,490.29,33.12,0,457.17
24/04 18:00,0,597,0,0,597
24/04 19:00,0,693.26,0,0,693.26
24/04 20:00,0,736.25,0,0,736.25
24/04 21:00,0,696.82,0,0,696.82
24/04 22:00,0,560.42,0,0,560.42
24/04 23:00,0,416.06,0,0,416.06
25/04 00:00,0,346.23,0,0,346.23
25/04 01:00,0,306.73,0,0,306.73
25/04 02:00,0,300.73,0,0,300.73
25/04 03:00,0,296.48,0,0,296.48
25/04 04:00,0,305.25,0,0,305.25
25/04 05:00,11.8,348.22,11.8,0,336.42
25/04 06:00,127.15,460.34,127.15,0,333.19
25/04 07:00,305.25,546.48,305.25,0,241.23
25/04 08:00,403.75,573.83,403.75,0,170.08
25/04 09:00,377.37,565.96,377.37,0,188.59
25/04 10:00,442.38,556.58,442.38,0,114.2
25/04 11:00,175.11,618.09,175.11,0,442.98
25/04 12:00,123.71,591.48,123.71,0,467.77
25/04 13:00,53.62,544.85,53.62,0,491.23
25/04 14:00,182.79,482.33,182.79,0,299.54
25/04 15:00,91.67,458.45,91.67,0,366.78
25/04 16:00,37.73,465.6,37.73,0,427.87
25/04 17:00,38.78,493.22,38.78,0,454.44
25/04 18:00,0,595.58,0,0,595.58
25/04 19:00,0,694.35,0,0,694.35
25/04 20:00,0,752.22,0,0,752.22
25/04 21:00,0,703.97,0,0,703.97
25/04 22:00,0,564.35,0,0,564.35
25/04 23:00,0,431.89,0,0,431.89
26/04 00:00,0,351.68,0,0,351.68
26/04 01:00,0,309.15,0,0,309.15
26/04 02:00,0,298.81,0,0,298.81
26/04 03:00,0,297.82,0,0,297.82
26/04 04:00,0,306.58,0,0,306.58
26/04 05:00,12.47,350.22,12.47,0,337.75
26/04 06:00,115.97,474.67,115.97,0,358.7
26/04 07:00,321.15,554.57,321.15,0,233.42
26/04 08:00,570.78,550.67,550.67,20.11,0
26/04 09:00,651.27,543.26,543.26,108.01,0
26/04 10:00,692.78,545,545,147.78,0
26/04 11:00,340.85,582.86,340.85,0,242.01
26/04 12:00,540.32,562.47,540.32,0,22.15
26/04 13:00,738.84,525.94,525.94,212.9,0
26/04 14:00,327.53,455.61,327.53,0,128.08
26/04 15:00,315.56,434.69,315.56,0,119.13
26/04 16:00,61.65,445.76,61.65,0,384.11
26/04 17:00,60.75,495.8,60.75,0,435.05
26/04 18:00,3.95,612.75,3.95,0,608.8
26/04 19:00,0,694.77,0,0,694.77
26/04 20:00,0,741.61,0,0,741.61
26/04 21:00,0,689.96,0,0,689.96
26/04 22:00,0,554.45,0,0,554.45
26/04 23:00,0,425.21,0,0,425.21
27/04 00:00,0,350.51,0,0,350.51
27/04 01:00,0,309.79,0,0,309.79
27/04 02:00,0,301.54,0,0,301.54
27/04 03:00,0,297.19,0,0,297.19
27/04 04:00,0,307.41,0,0,307.41
27/04 05:00,0,349.51,0,0,349.51
27/04 06:00,9.27,466.76,9.27,0,457.49
27/04 07:00,189.82,571.52,189.82,0,381.7
27/04 08:00,339.49,578.25,339.49,0,238.76
27/04 09:00,539.65,553.27,539.65,0,13.62
27/04 10:00,542.56,562.04,542.56,0,19.48
27/04 11:00,751.62,600.35,600.35,151.27,0
27/04 12:00,384.43,585.76,384.43,0,201.33
27/04 13:00,436.78,557.64,436.78,0,120.86
27/04 14:00,88.24,497.2,88.24,0,408.96
27/04 15:00,67.56,476.23,67.56,0,408.67
27/04 16:00,65.93,469.74,65.93,0,403.81
27/04 17:00,30.9,495.34,30.9,0,464.44
27/04 18:00,0,591.74,0,0,591.74
27/04 19:00,0,670.52,0,0,670.52
27/04 20:00,0,718.11,0,0,718.11
27/04 21:00,0,679.63,0,0,679.63
27/04 22:00,0,558.52,0,0,558.52
27/04 23:00,0,441.59,0,0,441.59
28/04 00:00,0,366.32,0,0,366.32
28/04 01:00,0,320.45,0,0,320.45
28/04 02:00,0,305.98,0,0,305.98
28/04 03:00,0,295.7,0,0,295.7
28/04 04:00,0,302.55,0,0,302.55
28/04 05:00,0,322.61,0,0,322.61
28/04 06:00,25.22,384.61,25.22,0,359.39
28/04 07:00,243.5,504.89,243.5,0,261.39
28/04 08:00,122.22,602.81,122.22,0,480.59
28/04 09:00,502.73,626.97,502.73,0,124.24
28/04 10:00,113.71,613.75,113.71,0,500.04
28/04 11:00,204.07,663.28,204.07,0,459.21
28/04 12:00,238.69,648.79,238.69,0,410.1
28/04 13:00,172.01,608.78,172.01,0,436.77
28/04 14:00,166.25,549.59,166.25,0,383.34
28/04 15:00,151.01,504.9,151.01,0,353.89
28/04 16:00,101.4,485.09,101.4,0,383.69
28/04 17:00,10.43,503.24,10.43,0,492.81
28/04 18:00,3.44,577.28,3.44,0,573.84
28/04 19:00,0,654.01,0,0,654.01
28/04 20:00,0,686.4,0,0,686.4
28/04 21:00,0,654.01,0,0,654.01
28/04 22:00,0,558.21,0,0,558.21
28/04 23:00,0,455.76,0,0,455.76
29/04 00:00,0,376.82,0,0,376.82
29/04 01:00,0,327.49,0,0,327.49
29/04 02:00,0,307.64,0,0,307.64
29/04 03:00,0,296.48,0,0,296.48
29/04 04:00,0,296.86,0,0,296.86
29/04 05:00,20.26,308.81,20.26,0,288.55
29/04 06:00,99.59,349.55,99.59,0,249.96
29/04 07:00,170.93,432.99,170.93,0,262.06
29/04 08:00,497.22,560.87,497.22,0,63.65
29/04 09:00,404.22,670.03,404.22,0,265.81
29/04 10:00,474.93,726.76,474.93,0,251.83
29/04 11:00,565.65,768.8,565.65,0,203.15
29/04 12:00,305.27,698.84,305.27,0,393.57
29/04 13:00,123.25,618.51,123.25,0,495.26
29/04 14:00,217.94,560.62,217.94,0,342.68
29/04 15:00,216.66,519.86,216.66,0,303.2
29/04 16:00,102.53,499.34,102.53,0,396.81
29/04 17:00,53.19,509.86,53.19,0,456.67
29/04 18:00,1.04,584.62,1.04,0,583.58
29/04 19:00,0,670.81,0,0,670.81
29/04 20:00,0,726.11,0,0,726.11
29/04 21:00,0,665.87,0,0,665.87
29/04 22:00,0,549.04,0,0,549.04
29/04 23:00,0,431.08,0,0,431.08
30/04 00:00,0,364.18,0,0,364.18
30/04 01:00,0,316.99,0,0,316.99
30/04 02:00,0,300.79,0,0,300.79
30/04 03:00,0,290.75,0,0,290.75
30/04 04:00,0,296.77,0,0,296.77
30/04 05:00,15.37,318.26,15.37,0,302.89
30/04 06:00,141.14,379.76,141.14,0,238.62
30/04 07:00,363.27,497.39,363.27,0,134.12
30/04 08:00,559.96,593.42,559.96,0,33.46
30/04 09:00,707.34,618.92,618.92,88.42,0
30/04 10:00,748.38,608.11,608.11,140.27,0
30/04 11:00,869.85,657.2,657.2,212.65,0
30/04 12:00,841.48,643.5,643.5,197.98,0
30/04 13:00,738.27,604.09,604.09,134.18,0
30/04 14:00,611.96,544.22,544.22,67.74,0
30/04 15:00,406.83,502.55,406.83,0,95.72
30/04 16:00,235.76,481.07,235.76,0,245.31
30/04 17:00,41.3,498.02,41.3,0,456.72
30/04 18:00,8.92,570.09,8.92,0,561.17
30/04 19:00,0,643.89,0,0,643.89
30/04 20:00,0,672.78,0,0,672.78
30/04 21:00,0,642.4,0,0,642.4
30/04 22:00,0,553.38,0,0,553.38
30/04 23:00,0,456.27,0,0,456.27
01/05 00:00,0,376.2,0,0,376.2
01/05 01:00,0,325.45,0,0,325.45
01/05 02:00,0,306.52,0,0,306.52
01/05 03:00,0,295.19,0,0,295.19
01/05 04:00,0,295.04,0,0,295.04
01/05 05:00,19.44,307.03,19.44,0,287.59
01/05 06:00,121.08,347.6,121.08,0,226.52
01/05 07:00,305.9,430.15,305.9,0,124.25
01/05 08:00,547.11,555.86,547.11,0,8.75
01/05 09:00,700.66,662.76,662.76,37.9,0
01/05 10:00,788.16,719.67,719.67,68.49,0
01/05 11:00,842.35,764.74,764.74,77.61,0
01/05 12:00,829.24,693.26,693.26,135.98,0
01/05 13:00,785.11,615.33,615.33,169.78,0
01/05 14:00,662.03,559.7,559.7,102.33,0
01/05 15:00,507.68,517.32,507.68,0,9.64
01/05 16:00,302.23,497.63,302.23,0,195.4
01/05 17:00,45.07,505.23,45.07,0,460.16
01/05 18:00,7.6,580.71,7.6,0,573.11
01/05 19:00,0,660.68,0,0,660.68
01/05 20:00,0,708.72,0,0,708.72
01/05 21:00,0,659,0,0,659
01/05 22:00,0,546.84,0,0,546.84
01/05 23:00,0,424.7,0,0,424.7
02/05 00:00,0,344.5,0,0,344.5
02/05 01:00,0,303.96,0,0,303.96
02/05 02:00,0,298.75,0,0,298.75
02/05 03:00,0,294.3,0,0,294.3
02/05 04:00,0,303.24,0,0,303.24
02/05 05:00,19.14,345.72,19.14,0,326.58
02/05 06:00,47.24,456.25,47.24,0,409.01
02/05 07:00,86.66,541.02,86.66,0,454.36
02/05 08:00,228.93,571.64,228.93,0,342.71
02/05 09:00,363.91,561.35,363.91,0,197.44
02/05 10:00,251.22,552.55,251.22,0,301.33
02/05 11:00,613.02,614.37,613.02,0,1.35
02/05 12:00,84.94,591.2,84.94,0,506.26
02/05 13:00,63.19,545.97,63.19,0,482.78
02/05 14:00,76.13,481.06,76.13,0,404.93
02/05 15:00,49.53,456.63,49.53,0,407.1
02/05 16:00,70.05,461.96,70.05,0,391.91
02/05 17:00,17.51,488.61,17.51,0,471.1
02/05 18:00,9.09,588.13,9.09,0,579.04
02/05 19:00,0,680.31,0,0,680.31
02/05 20:00,0,733.34,0,0,733.34
02/05 21:00,0,696.27,0,0,696.27
02/05 22:00,0,560.34,0,0,560.34
02/05 23:00,0,425.26,0,0,425.26
03/05 00:00,0,343.89,0,0,343.89
03/05 01:00,0,302.36,0,0,302.36
03/05 02:00,0,292.09,0,0,292.09
03/05 03:00,0,290.39,0,0,290.39
03/05 04:00,0,299.24,0,0,299.24
03/05 05:00,18.44,343.28,18.44,0,324.84
03/05 06:00,82.8,464.34,82.8,0,381.54
03/05 07:00,131.71,540.47,131.71,0,408.76
03/05 08:00,454.1,545.18,454.1,0,91.08
03/05 09:00,345.15,536.11,345.15,0,190.96
03/05 10:00,749.11,540.23,540.23,208.88,0
03/05 11:00,825.51,576.17,576.17,249.34,0
03/05 12:00,723.77,556.07,556.07,167.7,0
03/05 13:00,750.47,517.11,517.11,233.36,0
03/05 14:00,491.65,450.28,450.28,41.37,0
03/05 15:00,225.81,430.44,225.81,0,204.63
03/05 16:00,131.91,443.25,131.91,0,311.34
03/05 17:00,41.45,493.74,41.45,0,452.29
03/05 18:00,4.91,606.78,4.91,0,601.87
03/05 19:00,0,677.96,0,0,677.96
03/05 20:00,0,723.95,0,0,723.95
03/05 21:00,0,680.14,0,0,680.14
03/05 22:00,0,548.57,0,0,548.57
03/05 23:00,0,419.37,0,0,419.37
04/05 00:00,0,345.98,0,0,345.98
04/05 01:00,0,306.31,0,0,306.31
04/05 02:00,0,297.31,0,0,297.31
04/05 03:00,0,292.04,0,0,292.04
04/05 04:00,0,302.39,0,0,302.39
04/05 05:00,21.28,344.74,21.28,0,323.46
04/05 06:00,145.71,456.57,145.71,0,310.86
04/05 07:00,367.14,560.78,367.14,0,193.64
04/05 08:00,289.88,572.35,289.88,0,282.47
04/05 09:00,371.2,548.22,371.2,0,177.02
04/05 10:00,244.05,556.96,244.05,0,312.91
04/05 11:00,105.38,600.55,105.38,0,495.17
04/05 12:00,356.81,581.22,356.81,0,224.41
04/05 13:00,90.09,552.77,90.09,0,462.68
04/05 14:00,47.21,492.17,47.21,0,444.96
04/05 15:00,373.7,469.39,373.7,0,95.69
04/05 16:00,153.99,466.93,153.99,0,312.94
04/05 17:00,28.29,491.68,28.29,0,463.39
04/05 18:00,5.08,580.1,5.08,0,575.02
04/05 19:00,0,654.03,0,0,654.03
04/05 20:00,0,698.11,0,0,698.11
04/05 21:00,0,666.7,0,0,666.7
04/05 22:00,0,551.81,0,0,551.81
04/05 23:00,0,438.36,0,0,438.36
05/05 00:00,0,364.18,0,0,364.18
05/05 01:00,0,316.99,0,0,316.99
05/05 02:00,0,300.79,0,0,300.79
05/05 03:00,0,290.75,0,0,290.75
05/05 04:00,0,296.77,0,0,296.77
