Date et heure,Production Photovolta�que (W),Consumption,Puissance autoconsommée (W),Puissance inject�e (W),Puissance soutir�e (W)
06/01 14:00,91.87,606.55,91.87,0,514.68
06/01 15:00,10.16,594,10.16,0,583.84
06/01 16:00,0,639.33,0,0,639.33
06/01 17:00,0,758.97,0,0,758.97
06/01 18:00,0,932.23,0,0,932.23
06/01 19:00,0,977.86,0,0,977.86
06/01 20:00,0,915.62,0,0,915.62
06/01 21:00,0,771.34,0,0,771.34
06/01 22:00,0,645.27,0,0,645.27
06/01 23:00,0,525.12,0,0,525.12
07/01 00:00,0,430.36,0,0,430.36
07/01 01:00,0,379.92,0,0,379.92
07/01 02:00,0,350.4,0,0,350.4
07/01 03:00,0,349.13,0,0,349.13
07/01 04:00,0,366.35,0,0,366.35
07/01 05:00,0,384.86,0,0,384.86
07/01 06:00,0,434.03,0,0,434.03
07/01 07:00,0,594.94,0,0,594.94
07/01 08:00,52.87,727.58,52.87,0,674.71
07/01 09:00,147.14,750.9,147.14,0,603.76
07/01 10:00,89.12,757.77,89.12,0,668.65
07/01 11:00,68.25,806.3,68.25,0,738.05
07/01 12:00,51.18,793.52,51.18,0,742.34
07/01 13:00,55.31,761.28,55.31,0,705.97
07/01 14:00,41.31,694.23,41.31,0,652.92
07/01 15:00,26.97,651.16,26.97,0,624.19
07/01 16:00,0,671.1,0,0,671.1
07/01 17:00,0,780.44,0,0,780.44
07/01 18:00,0,907.99,0,0,907.99
07/01 19:00,0,936.87,0,0,936.87
07/01 20:00,0,871.74,0,0,871.74
07/01 21:00,0,746.93,0,0,746.93
07/01 22:00,0,648.29,0,0,648.29
07/01 23:00,0,537.44,0,0,537.44
08/01 00:00,0,461.91,0,0,461.91
08/01 01:00,0,412.08,0,0,412.08
08/01 02:00,0,370.28,0,0,370.28
08/01 03:00,0,357.27,0,0,357.27
08/01 04:00,0,368.63,0,0,368.63
08/01 05:00,0,376.54,0,0,376.54
08/01 06:00,0,403.66,0,0,403.66
08/01 07:00,0,504.66,0,0,504.66
08/01 08:00,46.36,669.81,46.36,0,623.45
08/01 09:00,42.51,802.74,42.51,0,760.23
08/01 10:00,125.58,894.01,125.58,0,768.43
08/01 11:00,67.3,940.4,67.3,0,873.1
08/01 12:00,78.42,877.73,78.42,0,799.31
08/01 13:00,56.63,781.18,56.63,0,724.55
08/01 14:00,44.33,710.6,44.33,0,666.27
08/01 15:00,1.12,662.74,1.12,0,661.62
08/01 16:00,0,691.69,0,0,691.69
08/01 17:00,0,805.84,0,0,805.84
08/01 18:00,0,926.6,0,0,926.6
08/01 19:00,0,962.62,0,0,962.62
08/01 20:00,0,918.85,0,0,918.85
08/01 21:00,0,758.49,0,0,758.49
08/01 22:00,0,622.77,0,0,622.77
08/01 23:00,0,497.2,0,0,497.2
09/01 00:00,0,407.77,0,0,407.77
09/01 01:00,0,362.14,0,0,362.14
09/01 02:00,0,338.55,0,0,338.55
09/01 03:00,0,340.74,0,0,340.74
09/01 04:00,0,360.57,0,0,360.57
09/01 05:00,0,409.64,0,0,409.64
09/01 06:00,0,533.07,0,0,533.07
09/01 07:00,0,681.93,0,0,681.93
09/01 08:00,150.45,726.15,150.45,0,575.7
09/01 09:00,357.7,733.51,357.7,0,375.81
09/01 10:00,591.17,727.1,591.17,0,135.93
09/01 11:00,587.41,750.36,587.41,0,162.95
09/01 12:00,638.31,701.61,638.31,0,63.3
09/01 13:00,594.2,648.66,594.2,0,54.46
09/01 14:00,474.3,585.85,474.3,0,111.55
09/01 15:00,16.09,576.18,16.09,0,560.09
09/01 16:00,0,627.74,0,0,627.74
09/01 17:00,0,771.31,0,0,771.31
09/01 18:00,0,951.27,0,0,951.27
09/01 19:00,0,990.81,0,0,990.81
09/01 20:00,0,929.88,0,0,929.88
09/01 21:00,0,761.47,0,0,761.47
09/01 22:00,0,600.84,0,0,600.84
09/01 23:00,0,479.61,0,0,479.61
10/01 00:00,0,403,0,0,403
10/01 01:00,0,364.87,0,0,364.87
10/01 02:00,0,343.37,0,0,343.37
10/01 03:00,0,346.27,0,0,346.27
10/01 04:00,0,369.14,0,0,369.14
10/01 05:00,0,413.66,0,0,413.66
10/01 06:00,0,539.44,0,0,539.44
10/01 07:00,0,678.33,0,0,678.33
10/01 08:00,96.08,697.1,96.08,0,601.02
10/01 09:00,365.21,664.47,365.21,0,299.26
10/01 10:00,582.77,658.82,582.77,0,76.05
10/01 11:00,644.9,710.05,644.9,0,65.15
10/01 12:00,653.73,676.06,653.73,0,22.33
10/01 13:00,587.6,616.14,587.6,0,28.54
10/01 14:00,474.42,558.36,474.42,0,83.94
10/01 15:00,13.84,548.15,13.84,0,534.31
10/01 16:00,0,604.25,0,0,604.25
10/01 17:00,0,749.4,0,0,749.4
10/01 18:00,0,927.95,0,0,927.95
10/01 19:00,0,985.44,0,0,985.44
10/01 20:00,0,917.75,0,0,917.75
10/01 21:00,0,766.19,0,0,766.19
10/01 22:00,0,618.27,0,0,618.27
10/01 23:00,0,481.47,0,0,481.47
11/01 00:00,0,404.91,0,0,404.91
11/01 01:00,0,365.37,0,0,365.37
11/01 02:00,0,343.58,0,0,343.58
11/01 03:00,0,341.6,0,0,341.6
11/01 04:00,0,363.21,0,0,363.21
11/01 05:00,0,407.5,0,0,407.5
11/01 06:00,0,523.21,0,0,523.21
11/01 07:00,0,649.03,0,0,649.03
11/01 08:00,158.12,684.91,158.12,0,526.79
11/01 09:00,452.93,664.82,452.93,0,211.89
11/01 10:00,578.9,659.93,578.9,0,81.03
11/01 11:00,632.66,725.35,632.66,0,92.69
11/01 12:00,620.93,692.71,620.93,0,71.78
11/01 13:00,580.7,646.73,580.7,0,66.03
11/01 14:00,432.17,583.28,432.17,0,151.11
11/01 15:00,15.65,566.44,15.65,0,550.79
11/01 16:00,0,604.43,0,0,604.43
11/01 17:00,0,735.63,0,0,735.63
11/01 18:00,0,923.82,0,0,923.82
11/01 19:00,0,986.97,0,0,986.97
11/01 20:00,0,933.17,0,0,933.17
11/01 21:00,0,779,0,0,779
11/01 22:00,0,629.89,0,0,629.89
11/01 23:00,0,499.24,0,0,499.24
12/01 00:00,0,413.22,0,0,413.22
12/01 01:00,0,371.04,0,0,371.04
12/01 02:00,0,348.81,0,0,348.81
12/01 03:00,0,349.55,0,0,349.55
12/01 04:00,0,372.1,0,0,372.1
12/01 05:00,0,419.33,0,0,419.33
12/01 06:00,0,555.05,0,0,555.05
12/01 07:00,0,695.02,0,0,695.02
12/01 08:00,81.69,690.6,81.69,0,608.91
12/01 09:00,218.9,640.03,218.9,0,421.13
12/01 10:00,302.5,643.37,302.5,0,340.87
12/01 11:00,525.59,684.21,525.59,0,158.62
12/01 12:00,634.32,669.6,634.32,0,35.28
12/01 13:00,591.09,627.4,591.09,0,36.31
12/01 14:00,469.07,554.12,469.07,0,85.05
12/01 15:00,13.04,531.58,13.04,0,518.54
12/01 16:00,0,588.55,0,0,588.55
12/01 17:00,0,737.99,0,0,737.99
12/01 18:00,0,932.48,0,0,932.48
12/01 19:00,0,992.34,0,0,992.34
12/01 20:00,0,921.97,0,0,921.97
12/01 21:00,0,770.89,0,0,770.89
12/01 22:00,0,624.65,0,0,624.65
12/01 23:00,0,485.64,0,0,485.64
13/01 00:00,0,403.16,0,0,403.16
13/01 01:00,0,368.42,0,0,368.42
13/01 02:00,0,347.6,0,0,347.6
13/01 03:00,0,352.54,0,0,352.54
13/01 04:00,0,376.3,0,0,376.3
13/01 05:00,0,420,0,0,420
13/01 06:00,0,544.42,0,0,544.42
13/01 07:00,0,691.5,0,0,691.5
13/01 08:00,43.44,715.28,43.44,0,671.84
13/01 09:00,75.82,657.71,75.82,0,581.89
13/01 10:00,68.96,667.44,68.96,0,598.48
13/01 11:00,102.34,705.26,102.34,0,602.92
13/01 12:00,114.43,678.39,114.43,0,563.96
13/01 13:00,101.95,651.53,101.95,0,549.58
13/01 14:00,69.87,600.59,69.87,0,530.72
13/01 15:00,30.55,584.23,30.55,0,553.68
13/01 16:00,0,625.12,0,0,625.12
13/01 17:00,0,733.34,0,0,733.34
13/01 18:00,0,913.61,0,0,913.61
13/01 19:00,0,965.16,0,0,965.16
13/01 20:00,0,903.74,0,0,903.74
13/01 21:00,0,764.5,0,0,764.5
13/01 22:00,0,635.46,0,0,635.46
13/01 23:00,0,520.46,0,0,520.46
14/01 00:00,0,437.86,0,0,437.86
14/01 01:00,0,388.47,0,0,388.47
14/01 02:00,0,359.44,0,0,359.44
14/01 03:00,0,356.05,0,0,356.05
14/01 04:00,0,373.33,0,0,373.33
14/01 05:00,0,391.23,0,0,391.23
14/01 06:00,0,440.12,0,0,440.12
14/01 07:00,0,600.71,0,0,600.71
14/01 08:00,44.05,735.17,44.05,0,691.12
14/01 09:00,116.46,761.29,116.46,0,644.83
14/01 10:00,85.42,766.45,85.42,0,681.03
14/01 11:00,144.78,818.61,144.78,0,673.83
14/01 12:00,167,806.34,167,0,639.34
14/01 13:00,576.56,767.29,576.56,0,190.73
14/01 14:00,443.89,698.39,443.89,0,254.5
14/01 15:00,18.27,653.34,18.27,0,635.07
14/01 16:00,0,670.43,0,0,670.43
14/01 17:00,0,781.16,0,0,781.16
14/01 18:00,0,918.99,0,0,918.99
14/01 19:00,0,951.59,0,0,951.59
14/01 20:00,0,887.02,0,0,887.02
14/01 21:00,0,750.81,0,0,750.81
14/01 22:00,0,649.95,0,0,649.95
14/01 23:00,0,537.02,0,0,537.02
15/01 00:00,0,462.85,0,0,462.85
15/01 01:00,0,416.61,0,0,416.61
15/01 02:00,0,376.14,0,0,376.14
15/01 03:00,0,362.89,0,0,362.89
15/01 04:00,0,374.81,0,0,374.81
15/01 05:00,0,382.95,0,0,382.95
15/01 06:00,0,408.99,0,0,408.99
15/01 07:00,0,509.78,0,0,509.78
15/01 08:00,70.98,677.04,70.98,0,606.06
15/01 09:00,349.25,805.53,349.25,0,456.28
15/01 10:00,560.94,900.67,560.94,0,339.73
15/01 11:00,643.97,949.74,643.97,0,305.77
15/01 12:00,642.55,883.43,642.55,0,240.88
15/01 13:00,600.64,788.1,600.64,0,187.46
15/01 14:00,478.58,717.83,478.58,0,239.25
15/01 15:00,18.12,668.76,18.12,0,650.64
15/01 16:00,0,690.15,0,0,690.15
15/01 17:00,0,797.4,0,0,797.4
15/01 18:00,0,931.69,0,0,931.69
15/01 19:00,0,973.8,0,0,973.8
15/01 20:00,0,923.23,0,0,923.23
15/01 21:00,0,762.58,0,0,762.58
15/01 22:00,0,631.78,0,0,631.78
15/01 23:00,0,504.47,0,0,504.47
16/01 00:00,0,407.24,0,0,407.24
16/01 01:00,0,362.57,0,0,362.57
16/01 02:00,0,340.24,0,0,340.24
16/01 03:00,0,342.89,0,0,342.89
16/01 04:00,0,363.98,0,0,363.98
16/01 05:00,0,408.65,0,0,408.65
16/01 06:00,0,530.75,0,0,530.75
16/01 07:00,0,672.37,0,0,672.37
16/01 08:00,156.84,722.49,156.84,0,565.65
16/01 09:00,459.55,737.63,459.55,0,278.08
16/01 10:00,589.32,733.43,589.32,0,144.11
16/01 11:00,651.43,757.93,651.43,0,106.5
16/01 12:00,658.47,705.15,658.47,0,46.68
16/01 13:00,597.61,656.91,597.61,0,59.3
16/01 14:00,487.14,589.12,487.14,0,101.98
16/01 15:00,15.93,574.31,15.93,0,558.38
16/01 16:00,0,615.69,0,0,615.69
16/01 17:00,0,755.61,0,0,755.61
16/01 18:00,0,947.02,0,0,947.02
16/01 19:00,0,993.72,0,0,993.72
16/01 20:00,0,928.92,0,0,928.92
16/01 21:00,0,758.25,0,0,758.25
16/01 22:00,0,603.04,0,0,603.04
16/01 23:00,0,480.05,0,0,480.05
17/01 00:00,0,397.47,0,0,397.47
17/01 01:00,0,359.84,0,0,359.84
17/01 02:00,0,341.47,0,0,341.47
17/01 03:00,0,344.33,0,0,344.33
17/01 04:00,0,366.31,0,0,366.31
17/01 05:00,0,409.36,0,0,409.36
17/01 06:00,0,530.56,0,0,530.56
17/01 07:00,0,660.35,0,0,660.35
17/01 08:00,189.36,689.11,189.36,0,499.75
17/01 09:00,470.4,660.05,470.4,0,189.65
17/01 10:00,605.94,658.53,605.94,0,52.59
17/01 11:00,657.18,705.06,657.18,0,47.88
17/01 12:00,656.28,671.34,656.28,0,15.06
17/01 13:00,609.34,613.07,609.34,0,3.73
17/01 14:00,458.51,553.46,458.51,0,94.95
17/01 15:00,24.7,540.37,24.7,0,515.67
17/01 16:00,0,588.22,0,0,588.22
17/01 17:00,0,726.58,0,0,726.58
17/01 18:00,0,909.52,0,0,909.52
17/01 19:00,0,970.64,0,0,970.64
17/01 20:00,0,908.15,0,0,908.15
17/01 21:00,0,757.45,0,0,757.45
17/01 22:00,0,615.01,0,0,615.01
17/01 23:00,0,478.56,0,0,478.56
18/01 00:00,0,402.8,0,0,402.8
18/01 01:00,0,366.02,0,0,366.02
18/01 02:00,0,345.75,0,0,345.75
18/01 03:00,0,344.67,0,0,344.67
18/01 04:00,0,365.27,0,0,365.27
18/01 05:00,0,409.98,0,0,409.98
18/01 06:00,0,522.27,0,0,522.27
18/01 07:00,0,641.87,0,0,641.87
18/01 08:00,179.04,680.79,179.04,0,501.75
18/01 09:00,412.41,663.86,412.41,0,251.45
18/01 10:00,610.32,658.07,610.32,0,47.75
18/01 11:00,654.13,724.44,654.13,0,70.31
18/01 12:00,658.85,693.15,658.85,0,34.3
18/01 13:00,604.73,647.22,604.73,0,42.49
18/01 14:00,497.5,581.6,497.5,0,84.1
18/01 15:00,19.56,559.64,19.56,0,540.08
18/01 16:00,0,593.23,0,0,593.23
18/01 17:00,0,717.87,0,0,717.87
18/01 18:00,0,914.09,0,0,914.09
18/01 19:00,0,983.19,0,0,983.19
