Date,ProdPV,Consumption,Autoconsumed_power,Injected_power,Extracted_power
06/01 15:00,121.32,172.94,9.89,0,163.05
06/01 16:00,0,306.07,0,0,306.07
06/01 17:00,0,363.35,0,0,363.35
06/01 18:00,0,446.29,0,0,446.29
06/01 19:00,0,468.14,0,0,468.14
06/01 20:00,0,438.34,0,0,438.34
06/01 21:00,0,369.27,0,0,369.27
06/01 22:00,0,308.91,0,0,308.91
06/01 23:00,0,251.4,0,0,251.4
07/01 00:00,0,206.03,0,0,206.03
07/01 01:00,0,181.88,0,0,181.88
07/01 02:00,0,167.75,0,0,167.75
07/01 03:00,0,167.14,0,0,167.14
07/01 04:00,0,175.38,0,0,175.38
07/01 05:00,0,184.25,0,0,184.25
07/01 06:00,0,207.78,0,0,207.78
07/01 07:00,0,284.82,0,0,284.82
07/01 08:00,191.26,208.53,51.47,0,157.06
07/01 09:00,398.07,143.09,143.09,38.59,0
07/01 10:00,528.89,86.7,86.7,166.12,0
07/01 11:00,634.94,66.49,66.49,248.93,0
07/01 12:00,634.2,49.88,49.88,254.31,0
07/01 13:00,542.1,53.98,53.98,177.65,0
07/01 14:00,431.9,40.36,40.36,99.55,0
07/01 15:00,161.23,176.85,26.35,0,150.5
07/01 16:00,0,321.28,0,0,321.28
07/01 17:00,0,373.63,0,0,373.63
07/01 18:00,0,434.69,0,0,434.69
07/01 19:00,0,448.51,0,0,448.51
07/01 20:00,0,417.33,0,0,417.33
07/01 21:00,0,357.58,0,0,357.58
07/01 22:00,0,310.36,0,0,310.36
07/01 23:00,0,257.29,0,0,257.29
08/01 00:00,0,221.13,0,0,221.13
08/01 01:00,0,197.27,0,0,197.27
08/01 02:00,0,177.27,0,0,177.27
08/01 03:00,0,171.04,0,0,171.04
08/01 04:00,0,176.48,0,0,176.48
08/01 05:00,0,180.26,0,0,180.26
08/01 06:00,0,193.25,0,0,193.25
08/01 07:00,0,241.6,0,0,241.6
08/01 08:00,84.04,281.74,45.12,0,236.62
08/01 09:00,321.67,103.99,41.36,0,62.63
08/01 10:00,569.03,122.37,122.37,141.04,0
08/01 11:00,509.84,65.71,65.71,59.64,0
08/01 12:00,575.89,76.41,76.41,155.69,0
08/01 13:00,601.23,55.17,55.17,227.25,0
08/01 14:00,201.87,181.5,43.18,0,138.32
08/01 15:00,110.5,207.87,1.09,0,206.78
08/01 16:00,0,331.13,0,0,331.13
08/01 17:00,0,385.78,0,0,385.78
08/01 18:00,0,443.59,0,0,443.59
08/01 19:00,0,460.84,0,0,460.84
08/01 20:00,0,439.88,0,0,439.88
08/01 21:00,0,363.12,0,0,363.12
08/01 22:00,0,298.14,0,0,298.14
08/01 23:00,0,238.03,0,0,238.03
09/01 00:00,0,195.21,0,0,195.21
09/01 01:00,0,173.37,0,0,173.37
09/01 02:00,0,162.07,0,0,162.07
09/01 03:00,0,163.12,0,0,163.12
09/01 04:00,0,172.62,0,0,172.62
09/01 05:00,0,196.11,0,0,196.11
09/01 06:00,0,255.2,0,0,255.2
09/01 07:00,0,326.47,0,0,326.47
09/01 08:00,34.95,459.29,146.61,0,312.68
09/01 09:00,361.71,348.78,348.78,10.55,0
09/01 10:00,340.83,355.35,348.09,0,7.26
09/01 11:00,405.86,359.22,359.22,46.64,0
09/01 12:00,288.77,383,335.89,0,47.12
09/01 13:00,434.95,310.54,310.54,124.41,0
09/01 14:00,359.37,280.47,280.47,78.9,0
09/01 15:00,286.02,275.84,275.84,10.18,0
09/01 16:00,0,601.04,300.52,0,300.52
09/01 17:00,0,738.51,369.26,0,369.26
09/01 18:00,0,592.46,137.06,0,455.41
09/01 19:00,0,474.33,0,0,474.33
09/01 20:00,0,445.16,0,0,445.16
09/01 21:00,0,364.54,0,0,364.54
09/01 22:00,0,287.65,0,0,287.65
09/01 23:00,0,229.61,0,0,229.61
10/01 00:00,0,192.93,0,0,192.93
10/01 01:00,0,174.68,0,0,174.68
10/01 02:00,0,164.38,0,0,164.38
10/01 03:00,0,165.77,0,0,165.77
10/01 04:00,0,176.72,0,0,176.72
10/01 05:00,0,198.03,0,0,198.03
10/01 06:00,0,258.25,0,0,258.25
10/01 07:00,0,324.74,0,0,324.74
10/01 08:00,170.65,256.62,93.55,0,163.07
10/01 09:00,410.4,318.11,318.11,92.29,0
10/01 10:00,520.57,315.4,315.4,205.17,0
10/01 11:00,632.86,339.93,339.93,292.93,0
10/01 12:00,636.64,323.65,323.65,312.99,0
10/01 13:00,298.76,294.97,294.97,3.79,0
10/01 14:00,327.64,267.31,267.31,60.33,0
10/01 15:00,165.02,359.82,262.42,0,97.4
10/01 16:00,16.07,562.48,289.27,0,273.2
10/01 17:00,0,717.53,358.76,0,358.76
10/01 18:00,0,781.66,337.41,0,444.24
10/01 19:00,0,471.76,0,0,471.76
10/01 20:00,0,439.36,0,0,439.36
10/01 21:00,0,366.8,0,0,366.8
10/01 22:00,0,295.99,0,0,295.99
10/01 23:00,0,230.5,0,0,230.5
11/01 00:00,0,193.85,0,0,193.85
11/01 01:00,0,174.91,0,0,174.91
11/01 02:00,0,164.49,0,0,164.49
11/01 03:00,0,163.54,0,0,163.54
11/01 04:00,0,173.88,0,0,173.88
11/01 05:00,0,195.09,0,0,195.09
11/01 06:00,0,250.48,0,0,250.48
11/01 07:00,0,310.71,0,0,310.71
11/01 08:00,133.39,348.43,153.93,0,194.5
11/01 09:00,167.68,468.86,318.27,0,150.59
11/01 10:00,141.6,490.26,315.93,0,174.33
11/01 11:00,59.66,634.84,347.25,0,287.59
11/01 12:00,41.61,621.64,331.62,0,290.01
11/01 13:00,89.04,530.19,309.61,0,220.57
11/01 14:00,90.77,467.7,279.23,0,188.46
11/01 15:00,41.1,501.25,271.17,0,230.07
11/01 16:00,0.01,578.72,289.36,0,289.35
11/01 17:00,0,704.35,352.17,0,352.17
11/01 18:00,0,733.49,291.22,0,442.26
11/01 19:00,0,472.5,0,0,472.5
11/01 20:00,0,446.74,0,0,446.74
11/01 21:00,0,372.93,0,0,372.93
11/01 22:00,0,301.55,0,0,301.55
11/01 23:00,0,239,0,0,239
12/01 00:00,0,197.82,0,0,197.82
12/01 01:00,0,177.63,0,0,177.63
12/01 02:00,0,166.99,0,0,166.99
12/01 03:00,0,167.34,0,0,167.34
12/01 04:00,0,178.14,0,0,178.14
12/01 05:00,0,200.75,0,0,200.75
12/01 06:00,0,265.72,0,0,265.72
12/01 07:00,0,332.73,0,0,332.73
12/01 08:00,174.22,235.85,79.46,0,156.39
12/01 09:00,393.19,212.92,212.92,86.78,0
12/01 10:00,532.59,294.45,294.45,224.59,0
12/01 11:00,641.28,327.55,327.55,313.73,0
12/01 12:00,630.54,320.56,320.56,309.98,0
12/01 13:00,595.25,300.36,300.36,294.89,0
12/01 14:00,483.4,265.28,265.28,218.12,0
12/01 15:00,300.01,254.49,254.49,45.52,0
12/01 16:00,35.22,528.3,281.76,0,246.54
12/01 17:00,0,687.02,333.73,0,353.3
12/01 18:00,0,446.41,0,0,446.41
12/01 19:00,0,475.07,0,0,475.07
12/01 20:00,0,441.38,0,0,441.38
12/01 21:00,0,369.05,0,0,369.05
12/01 22:00,0,299.04,0,0,299.04
12/01 23:00,0,232.49,0,0,232.49
13/01 00:00,0,193.01,0,0,193.01
13/01 01:00,0,176.38,0,0,176.38
13/01 02:00,0,166.41,0,0,166.41
13/01 03:00,0,168.77,0,0,168.77
13/01 04:00,0,180.15,0,0,180.15
13/01 05:00,0,201.07,0,0,201.07
13/01 06:00,0,260.63,0,0,260.63
13/01 07:00,0,331.05,0,0,331.05
13/01 08:00,17.22,367.59,42.38,0,325.21
13/01 09:00,32.22,356.63,73.98,0,282.65
13/01 10:00,44.42,342.41,67.31,0,275.1
13/01 11:00,40.49,397.3,100.16,0,297.14
13/01 12:00,108.73,327.72,111.68,0,216.04
13/01 13:00,80.71,330.32,99.12,0,231.2
13/01 14:00,89.76,266.01,68.25,0,197.76
13/01 15:00,29.96,279.48,29.75,0,249.73
13/01 16:00,0.38,298.89,0,0,298.89
13/01 17:00,0,351.07,0,0,351.07
13/01 18:00,0,437.38,0,0,437.38
13/01 19:00,0,462.06,0,0,462.06
13/01 20:00,0,432.65,0,0,432.65
13/01 21:00,0,365.99,0,0,365.99
13/01 22:00,0,304.22,0,0,304.22
13/01 23:00,0,249.16,0,0,249.16
14/01 00:00,0,209.62,0,0,209.62
14/01 01:00,0,185.98,0,0,185.98
14/01 02:00,0,172.08,0,0,172.08
14/01 03:00,0,170.45,0,0,170.45
14/01 04:00,0,178.72,0,0,178.72
14/01 05:00,0,187.29,0,0,187.29
14/01 06:00,0,210.7,0,0,210.7
14/01 07:00,0,287.58,0,0,287.58
14/01 08:00,0,394.89,42.94,0,351.95
14/01 09:00,211.69,266.34,113.57,0,152.77
14/01 10:00,53.78,396.48,83.33,0,313.15
14/01 11:00,151.63,381.53,141.26,0,240.27
