Date,ProdPV,Consumption,Autoconsumed_power,Injected_power,Extracted_power
23/02 13:00,669.53,277.45,277.45,392.08,0
23/02 14:00,531.43,243.31,243.31,288.12,0
23/02 15:00,364.24,235.2,235.2,129.04,0
23/02 16:00,172.96,157.6,81.47,0,76.13
23/02 17:00,1.57,297.93,0,0,297.93
23/02 18:00,0,405.49,0,0,405.49
23/02 19:00,0,454.89,0,0,454.89
23/02 20:00,0,430.09,0,0,430.09
23/02 21:00,0,359.88,0,0,359.88
23/02 22:00,0,285.41,0,0,285.41
23/02 23:00,0,221.65,0,0,221.65
24/02 00:00,0,185.11,0,0,185.11
24/02 01:00,0,169.47,0,0,169.47
24/02 02:00,0,160.99,0,0,160.99
24/02 03:00,0,161.27,0,0,161.27
24/02 04:00,0,171.29,0,0,171.29
24/02 05:00,0,194.51,0,0,194.51
24/02 06:00,0,255.77,0,0,255.77
24/02 07:00,1.66,324.09,11.77,0,312.32
24/02 08:00,255.98,388.26,322.12,0,66.14
24/02 09:00,313.47,296.6,296.6,16.87,0
24/02 10:00,181.22,422.69,301.95,0,120.73
24/02 11:00,368.94,320.17,320.17,48.77,0
24/02 12:00,414.88,308,308,106.88,0
24/02 13:00,246.52,336.1,291.31,0,44.79
24/02 14:00,57.96,466.93,262.45,0,204.49
24/02 15:00,301.27,248.9,248.9,52.37,0
24/02 16:00,64.62,453.9,259.26,0,194.64
24/02 17:00,2.63,586.11,294.37,0,291.74
24/02 18:00,0,778.72,389.36,0,389.36
24/02 19:00,0,892.35,446.18,0,446.18
24/02 20:00,0,858.84,429.42,0,429.42
24/02 21:00,0,727.82,363.91,0,363.91
24/02 22:00,0,381.54,85.91,0,295.62
24/02 23:00,0,237.02,0,0,237.02
25/02 00:00,0,198.64,0,0,198.64
25/02 01:00,0,177.27,0,0,177.27
25/02 02:00,0,164.23,0,0,164.23
25/02 03:00,0,160.89,0,0,160.89
25/02 04:00,0,167.99,0,0,167.99
25/02 05:00,0,178.56,0,0,178.56
25/02 06:00,0,204.65,0,0,204.65
25/02 07:00,64.82,237,24.15,0,212.85
25/02 08:00,311.83,133.71,110.58,0,23.13
25/02 09:00,520.45,145.54,145.54,177.51,0
25/02 10:00,650.99,161.29,161.29,304.35,0
25/02 11:00,722.8,228.42,228.42,342.77,0
25/02 12:00,713.06,206.11,206.11,345.13,0
25/02 13:00,717.56,341.49,341.49,376.07,0
25/02 14:00,617.61,306.43,306.43,311.18,0
25/02 15:00,465.07,282.89,282.89,182.18,0
25/02 16:00,250.07,322.51,286.29,0,36.22
25/02 17:00,7.18,613.43,305.05,0,308.37
25/02 18:00,0,396.77,0,0,396.77
25/02 19:00,0,435.45,0,0,435.45
25/02 20:00,0,408.42,0,0,408.42
25/02 21:00,0,346.42,0,0,346.42
25/02 22:00,0,293.68,0,0,293.68
25/02 23:00,0,240.45,0,0,240.45
26/02 00:00,0,206.11,0,0,206.11
26/02 01:00,0,182.89,0,0,182.89
26/02 02:00,0,162.86,0,0,162.86
26/02 03:00,0,161.83,0,0,161.83
26/02 04:00,0,167.15,0,0,167.15
26/02 05:00,0,174.39,0,0,174.39
26/02 06:00,0,188.36,0,0,188.36
26/02 07:00,77.63,186.7,27.69,0,159.01
26/02 08:00,317.64,125.22,125.22,11.58,0
26/02 09:00,517.22,182.39,182.39,149.95,0
26/02 10:00,647.84,287.91,287.91,237.84,0
26/02 11:00,727.43,438.09,438.09,289.34,0
26/02 12:00,707.5,394.7,394.7,312.8,0
26/02 13:00,572.2,347.68,347.68,224.52,0
26/02 14:00,236.8,394.23,315.52,0,78.72
26/02 15:00,206.68,371.42,289.05,0,82.37
26/02 16:00,160.08,409.45,284.76,0,124.68
26/02 17:00,4.12,619.67,311.9,0,307.78
26/02 18:00,0,659.7,259.16,0,400.54
26/02 19:00,0,450.95,0,0,450.95
26/02 20:00,0,430.41,0,0,430.41
26/02 21:00,0,354.03,0,0,354.03
26/02 22:00,0,286.76,0,0,286.76
26/02 23:00,0,224.08,0,0,224.08
27/02 00:00,0,182.93,0,0,182.93
27/02 01:00,0,163.91,0,0,163.91
27/02 02:00,0,155.91,0,0,155.91
27/02 03:00,0,156.19,0,0,156.19
27/02 04:00,0,166.43,0,0,166.43
27/02 05:00,0,190.63,0,0,190.63
27/02 06:00,0,250.63,0,0,250.63
27/02 07:00,84.2,242.51,18.83,0,223.68
27/02 08:00,322.74,336.67,329.7,0,6.96
27/02 09:00,529.6,338.48,338.48,191.12,0
27/02 10:00,658.78,334.7,334.7,324.08,0
27/02 11:00,735.68,346.21,346.21,389.47,0
27/02 12:00,720.12,318.84,318.84,401.28,0
27/02 13:00,722.91,292.52,292.52,430.39,0
27/02 14:00,629.96,257.15,257.15,372.81,0
27/02 15:00,461.29,250.21,250.21,211.08,0
27/02 16:00,250.19,261.18,255.68,0,5.49
27/02 17:00,11.21,588.45,299.83,0,288.62
27/02 18:00,0,801.43,400.71,0,400.71
27/02 19:00,0,897,448.5,0,448.5
27/02 20:00,0,869.92,434.96,0,434.96
27/02 21:00,0,709.53,354.76,0,354.76
27/02 22:00,0,284.02,4.06,0,279.97
27/02 23:00,0,218.08,0,0,218.08
28/02 00:00,0,179.98,0,0,179.98
28/02 01:00,0,163.51,0,0,163.51
28/02 02:00,0,156.74,0,0,156.74
28/02 03:00,0,157.76,0,0,157.76
28/02 04:00,0,165.68,0,0,165.68
28/02 05:00,0,189.72,0,0,189.72
28/02 06:00,0,250.68,0,0,250.68
28/02 07:00,57.03,261.51,14.61,0,246.9
28/02 08:00,174.28,450.91,312.6,0,138.32
28/02 09:00,239.86,356.88,298.37,0,58.51
28/02 10:00,325.81,295.11,295.11,30.7,0
28/02 11:00,481.37,318.21,318.21,163.16,0
28/02 12:00,32.94,574.5,303.72,0,270.78
28/02 13:00,48.06,500.59,274.32,0,226.26
28/02 14:00,58.5,427.57,243.04,0,184.54
28/02 15:00,37.96,431.85,234.91,0,196.95
28/02 16:00,68.63,420.55,244.59,0,175.96
28/02 17:00,9.38,566.23,287.8,0,278.42
28/02 18:00,0,773.67,386.83,0,386.83
28/02 19:00,0,885.69,442.84,0,442.84
28/02 20:00,0,798.68,372.02,0,426.66
28/02 21:00,0,357.43,0,0,357.43
28/02 22:00,0,286.92,0,0,286.92
28/02 23:00,0,221.42,0,0,221.42
01/03 00:00,0,185.7,0,0,185.7
01/03 01:00,0,168,0,0,168
01/03 02:00,0,159.9,0,0,159.9
01/03 03:00,0,158.42,0,0,158.42
01/03 04:00,0,165.64,0,0,165.64
01/03 05:00,0,189.48,0,0,189.48
01/03 06:00,0,254.23,0,0,254.23
01/03 07:00,34.26,299.42,27.24,0,272.18
01/03 08:00,134.59,237.4,65.56,0,171.84
01/03 09:00,116.34,299.73,126.71,0,173.02
01/03 10:00,173.76,269.83,153.02,0,116.81
01/03 11:00,174.6,441.24,307.92,0,133.32
01/03 12:00,0,495.6,194.71,0,300.89
01/03 13:00,59.7,414.44,199.31,0,215.13
01/03 14:00,59.6,339.12,158.13,0,180.99
01/03 15:00,39.92,248.46,56.84,0,191.62
01/03 16:00,40.75,225.97,22.27,0,203.7
01/03 17:00,0.39,288.01,0,0,288.01
01/03 18:00,0,389.35,0,0,389.35
01/03 19:00,0,442.84,0,0,442.84
01/03 20:00,0,425.75,0,0,425.75
01/03 21:00,0,357.01,0,0,357.01
01/03 22:00,0,283.94,0,0,283.94
01/03 23:00,0,219.65,0,0,219.65
02/03 00:00,0,181.01,0,0,181.01
02/03 01:00,0,165.91,0,0,165.91
02/03 02:00,0,158.11,0,0,158.11
02/03 03:00,0,158.59,0,0,158.59
02/03 04:00,0,166.94,0,0,166.94
02/03 05:00,0,189.43,0,0,189.43
02/03 06:00,0,251.7,0,0,251.7
02/03 07:00,29.03,311.76,32.28,0,279.48
02/03 08:00,82.69,355.03,122.24,0,232.79
02/03 09:00,38.17,338.19,83.03,0,255.16
02/03 10:00,65.84,314.39,81.9,0,232.49
02/03 11:00,141.51,270.92,96.54,0,174.38
02/03 12:00,0,515.3,210.97,0,304.33
02/03 13:00,43.31,538.01,290.66,0,247.35
02/03 14:00,56.03,466.38,261.21,0,205.18
02/03 15:00,46.59,445.88,246.24,0,199.65
02/03 16:00,42.73,464.91,253.82,0,211.09
02/03 17:00,11.1,325.96,51.8,0,274.16
02/03 18:00,0,376.52,0,0,376.52
02/03 19:00,0,435.8,0,0,435.8
02/03 20:00,0,423.83,0,0,423.83
02/03 21:00,0,360.13,0,0,360.13
02/03 22:00,0,291.7,0,0,291.7
02/03 23:00,0,233.24,0,0,233.24
03/03 00:00,0,197.11,0,0,197.11
03/03 01:00,0,175.83,0,0,175.83
03/03 02:00,0,163.97,0,0,163.97
03/03 03:00,0,160.69,0,0,160.69
03/03 04:00,0,167.33,0,0,167.33
03/03 05:00,0,176.61,0,0,176.61
03/03 06:00,0,203.19,0,0,203.19
03/03 07:00,18.4,286.16,29.4,0,256.76
03/03 08:00,59.83,605.2,332.52,0,272.69
03/03 09:00,53.11,627.06,340.09,0,286.98
03/03 10:00,212.26,470.9,341.58,0,129.32
03/03 11:00,170.38,579.91,375.15,0,204.77
03/03 12:00,283.54,443.75,363.64,0,80.1
03/03 13:00,324.92,266.99,254.97,0,12.02
03/03 14:00,563.34,125.1,125.1,260.81,0
03/03 15:00,466.47,167.31,167.31,189.23,0
03/03 16:00,256.08,67.96,44.24,0,23.72
03/03 17:00,39.43,264.45,0,0,264.45
03/03 18:00,0,382.09,0,0,382.09
03/03 19:00,0,426.35,0,0,426.35
03/03 20:00,0,403.65,0,0,403.65
03/03 21:00,0,344.94,0,0,344.94
03/03 22:00,0,290.95,0,0,290.95
03/03 23:00,0,235.69,0,0,235.69
04/03 00:00,0,201.38,0,0,201.38
04/03 01:00,0,179.03,0,0,179.03
04/03 02:00,0,160.45,0,0,160.45
04/03 03:00,0,159.43,0,0,159.43
04/03 04:00,0,164.73,0,0,164.73
04/03 05:00,0,171.4,0,0,171.4
04/03 06:00,0,186.43,0,0,186.43
04/03 07:00,92.26,188.18,45.08,0,143.1
04/03 08:00,333.22,192.7,192.7,28.82,0
04/03 09:00,531.47,78.63,78.63,168.7,0
04/03 10:00,672.87,74.08,74.08,269.88,0
04/03 11:00,756.98,63.6,63.6,327.05,0
04/03 12:00,512.66,389.77,389.77,122.89,0
04/03 13:00,569.26,340.27,340.27,228.99,0
04/03 14:00,201,321.62,213.79,0,107.83
04/03 15:00,209.41,124.38,50.51,0,73.87
04/03 16:00,133.54,181.75,38.26,0,143.49
04/03 17:00,21.84,278.85,0,0,278.85
04/03 18:00,0,381.79,0,0,381.79
04/03 19:00,0,438.71,0,0,438.71
04/03 20:00,0,427.09,0,0,427.09
04/03 21:00,0,353.12,0,0,353.12
04/03 22:00,0,284.36,0,0,284.36
04/03 23:00,0,221.74,0,0,221.74
05/03 00:00,0,180.96,0,0,180.96
05/03 01:00,0,162.32,0,0,162.32
05/03 02:00,0,155.34,0,0,155.34
05/03 03:00,0,155.34,0,0,155.34
05/03 04:00,0,165.08,0,0,165.08
05/03 05:00,0,188.55,0,0,188.55
05/03 06:00,0,247.82,0,0,247.82
05/03 07:00,99.09,282.16,78.52,0,203.64
05/03 08:00,335.36,325.46,325.46,9.9,0
05/03 09:00,517.58,335.88,335.88,181.7,0
05/03 10:00,657.92,331.26,331.26,326.66,0
05/03 11:00,740.64,342.66,342.66,397.98,0
05/03 12:00,718.96,316.68,316.68,402.28,0
05/03 13:00,732.09,289.55,289.55,442.54,0
05/03 14:00,633.31,175,175,379.96,0
05/03 15:00,485.02,31.28,31.28,240.16,0
05/03 16:00,235.1,41.27,28.76,0,12.51
05/03 17:00,31.4,255.38,0,0,255.38
05/03 18:00,0,384.99,0,0,384.99
05/03 19:00,0,436.11,0,0,436.11
05/03 20:00,0,428.31,0,0,428.31
05/03 21:00,0,353.57,0,0,353.57
05/03 22:00,0,278.63,0,0,278.63
05/03 23:00,0,215.57,0,0,215.57
06/03 00:00,0,177.54,0,0,177.54
06/03 01:00,0,161.38,0,0,161.38
06/03 02:00,0,155.39,0,0,155.39
06/03 03:00,0,156.01,0,0,156.01
06/03 04:00,0,163.18,0,0,163.18
06/03 05:00,0,187.5,0,0,187.5
06/03 06:00,0,248.73,0,0,248.73
06/03 07:00,104.91,240.36,47.95,0,192.41
06/03 08:00,336.27,92.62,92.62,32.65,0
06/03 09:00,523.35,43.78,43.78,230.56,0
06/03 10:00,653.59,60.61,60.61,361.26,0
06/03 11:00,734.25,75.9,75.9,420.32,0
06/03 12:00,727.42,89.44,89.44,427.71,0
06/03 13:00,711.4,269.93,269.93,441.47,0
06/03 14:00,613.86,102.64,102.64,373.78,0
06/03 15:00,472.86,48.11,48.11,241.22,0
06/03 16:00,274.79,20.94,20.94,36.09,0
06/03 17:00,50.24,229.57,1.5,0,228.07
06/03 18:00,0,370.43,0,0,370.43
06/03 19:00,0,428.26,0,0,428.26
06/03 20:00,0,419.35,0,0,419.35
06/03 21:00,0,354.01,0,0,354.01
06/03 22:00,0,282.83,0,0,282.83
06/03 23:00,0,218.7,0,0,218.7
07/03 00:00,0,180.22,0,0,180.22
07/03 01:00,0,165.4,0,0,165.4
07/03 02:00,0,159.98,0,0,159.98
07/03 03:00,0,157.28,0,0,157.28
07/03 04:00,0,165.6,0,0,165.6
07/03 05:00,0,187.88,0,0,187.88
07/03 06:00,0,242.58,0,0,242.58
07/03 07:00,107.58,186.06,6.19,0,179.87
07/03 08:00,337.29,55.94,55.94,35.14,0
07/03 09:00,521.94,52.6,52.6,217.43,0
07/03 10:00,648.83,82.82,82.82,351.42,0
07/03 11:00,725.71,51.51,51.51,400.68,0
07/03 12:00,714.56,127,127,404.49,0
07/03 13:00,710.8,160.2,160.2,423.28,0
07/03 14:00,628.37,104.16,104.16,374.96,0
07/03 15:00,478.52,241.35,241.35,237.17,0
07/03 16:00,274,90.54,90.54,31.43,0
07/03 17:00,47.75,229.91,1.52,0,228.39
07/03 18:00,0,372.89,0,0,372.89
07/03 19:00,0,432.61,0,0,432.61
07/03 20:00,0,429.15,0,0,429.15
07/03 21:00,0,363.35,0,0,363.35
07/03 22:00,0,289.5,0,0,289.5
07/03 23:00,0,227.18,0,0,227.18
08/03 00:00,0,186.12,0,0,186.12
08/03 01:00,0,168.3,0,0,168.3
08/03 02:00,0,160.74,0,0,160.74
08/03 03:00,0,158.73,0,0,158.73
08/03 04:00,0,165.22,0,0,165.22
08/03 05:00,0,189.93,0,0,189.93
08/03 06:00,0,253.33,0,0,253.33
08/03 07:00,112.58,190.7,0,0,190.7
08/03 08:00,343.54,115.02,115.02,38.86,0
08/03 09:00,537.97,220.15,220.15,245.08,0
08/03 10:00,638.85,169.21,169.21,345.29,0
08/03 11:00,741.97,213.72,213.72,433.01,0
08/03 12:00,744.28,185.14,185.14,444.95,0
08/03 13:00,739.32,252.13,252.13,465.23,0
08/03 14:00,648.58,96.55,96.55,409.11,0
08/03 15:00,493.6,41.41,41.41,265.11,0
08/03 16:00,281.75,51.84,51.84,41.88,0
08/03 17:00,52.79,228.61,1.9,0,226.71
08/03 18:00,0,373.77,0,0,373.77
08/03 19:00,0,427.73,0,0,427.73
08/03 20:00,0,420.97,0,0,420.97
08/03 21:00,0,355.69,0,0,355.69
08/03 22:00,0,282.85,0,0,282.85
08/03 23:00,0,217.53,0,0,217.53
09/03 00:00,0,179.23,0,0,179.23
09/03 01:00,0,164.05,0,0,164.05
09/03 02:00,0,156.67,0,0,156.67
09/03 03:00,0,155.94,0,0,155.94
09/03 04:00,0,163.86,0,0,163.86
09/03 05:00,0,187.36,0,0,187.36
09/03 06:00,0,247.73,0,0,247.73
09/03 07:00,119.25,268.53,85.32,0,183.21
09/03 08:00,346.09,142.15,142.15,35.64,0
09/03 09:00,542.41,268.23,268.23,253.79,0
09/03 10:00,665.4,293.99,293.99,371.41,0
09/03 11:00,740.53,313.13,313.13,427.4,0
09/03 12:00,734.48,301.44,301.44,433.04,0
09/03 13:00,723.29,289.15,289.15,434.14,0
09/03 14:00,632.31,260.15,260.15,372.16,0
09/03 15:00,480.53,245.11,245.11,235.42,0
09/03 16:00,279.48,249.34,249.34,30.14,0
09/03 17:00,58.13,256.06,38.12,0,217.94
09/03 18:00,0,359.53,0,0,359.53
09/03 19:00,0,418.37,0,0,418.37
09/03 20:00,0,414.41,0,0,414.41
09/03 21:00,0,355.7,0,0,355.7
09/03 22:00,0,287.61,0,0,287.61
09/03 23:00,0,229.92,0,0,229.92
10/03 00:00,0,194.25,0,0,194.25
10/03 01:00,0,173.02,0,0,173.02
10/03 02:00,0,162.75,0,0,162.75
10/03 03:00,0,158.6,0,0,158.6
10/03 04:00,0,164.93,0,0,164.93
10/03 05:00,0,174.28,0,0,174.28
10/03 06:00,0,201.7,0,0,201.7
10/03 07:00,123.65,198.87,53.62,0,145.25
10/03 08:00,341.48,326.27,326.27,15.21,0
10/03 09:00,529.27,336.96,336.96,192.31,0
10/03 10:00,646.44,337.1,337.1,309.34,0
10/03 11:00,719.04,370.85,370.85,348.19,0
10/03 12:00,736.35,359.66,359.66,376.69,0
10/03 13:00,702.48,333.02,333.02,369.46,0
10/03 14:00,618.07,300.75,300.75,317.32,0
10/03 15:00,475.92,274.39,274.39,201.53,0
10/03 16:00,278.8,275.93,275.93,2.87,0
10/03 17:00,56.75,535.2,295.97,0,239.22
10/03 18:00,0,730.57,365.29,0,365.29
10/03 19:00,0,822.53,411.26,0,411.26
10/03 20:00,0,796.39,398.2,0,398.2
10/03 21:00,0,406.32,64.16,0,342.17
10/03 22:00,0,288.8,0,0,288.8
10/03 23:00,0,235.1,0,0,235.1
11/03 00:00,0,199.57,0,0,199.57
11/03 01:00,0,176.48,0,0,176.48
11/03 02:00,0,158.94,0,0,158.94
11/03 03:00,0,157.51,0,0,157.51
11/03 04:00,0,161.31,0,0,161.31
11/03 05:00,0,168.54,0,0,168.54
11/03 06:00,0,183.92,0,0,183.92
11/03 07:00,128.37,277.83,173.14,0,104.69
11/03 08:00,357.4,302.09,302.09,55.31,0
11/03 09:00,543.87,360.89,360.89,182.98,0
11/03 10:00,666.04,398.02,398.02,268.02,0
11/03 11:00,741.2,423.48,423.48,317.72,0
11/03 12:00,751.21,383.5,383.5,367.71,0
11/03 13:00,728.28,334.71,334.71,393.57,0
11/03 14:00,642.51,306.09,306.09,336.42,0
11/03 15:00,489.24,280.7,280.7,208.54,0
11/03 16:00,285.5,273.48,273.48,12.02,0
11/03 17:00,61.42,519.3,290.36,0,228.94
11/03 18:00,0,732.95,366.48,0,366.48
11/03 19:00,0,854.55,427.28,0,427.28
11/03 20:00,0,773.3,352.46,0,420.83
11/03 21:00,0,350.95,0,0,350.95
11/03 22:00,0,283.7,0,0,283.7
11/03 23:00,0,220.6,0,0,220.6
12/03 00:00,0,178.88,0,0,178.88
12/03 01:00,0,161.36,0,0,161.36
12/03 02:00,0,154.83,0,0,154.83
12/03 03:00,0,154.01,0,0,154.01
12/03 04:00,0,163.14,0,0,163.14
12/03 05:00,0,186.36,0,0,186.36
12/03 06:00,0,246.25,0,0,246.25
12/03 07:00,14.88,332.03,47.94,0,284.09
12/03 08:00,14.85,453.34,143.75,0,309.59
12/03 09:00,25.55,607.49,300.23,0,307.26
12/03 10:00,38.35,610.56,317.32,0,293.24
12/03 11:00,114.15,570.96,342.55,0,228.4
12/03 12:00,94.22,534.36,314.29,0,220.07
12/03 13:00,71.94,499.28,285.61,0,213.67
12/03 14:00,59.85,442.02,250.94,0,191.09
12/03 15:00,56.89,429.17,243.03,0,186.14
12/03 16:00,22.5,462.36,242.43,0,219.93
12/03 17:00,3.62,547.71,275.67,0,272.05
12/03 18:00,0,737.01,368.5,0,368.5
12/03 19:00,0,481.78,59.32,0,422.46
12/03 20:00,0,419.32,0,0,419.32
12/03 21:00,0,351.35,0,0,351.35
12/03 22:00,0,276.96,0,0,276.96
12/03 23:00,0,212.09,0,0,212.09
13/03 00:00,0,175.33,0,0,175.33
13/03 01:00,0,158.72,0,0,158.72
13/03 02:00,0,154.49,0,0,154.49
13/03 03:00,0,154.15,0,0,154.15
13/03 04:00,0,160.48,0,0,160.48
13/03 05:00,0,184.91,0,0,184.91
13/03 06:00,0,245.96,0,0,245.96
13/03 07:00,21.86,430.32,160.35,0,269.97
13/03 08:00,100.26,496.67,298.47,0,198.21
13/03 09:00,120.31,456.44,288.38,0,168.07
13/03 10:00,293.74,288.64,288.64,5.1,0
13/03 11:00,107.46,508.65,308.05,0,200.59
13/03 12:00,97.68,490.94,294.31,0,196.63
13/03 13:00,410.72,268.37,268.37,142.35,0
13/03 14:00,555.78,236.84,236.84,318.94,0
13/03 15:00,479.16,227.33,227.33,251.83,0
13/03 16:00,195.43,269.91,232.67,0,37.24
13/03 17:00,40.13,493.6,266.87,0,226.74
13/03 18:00,0,705.35,352.68,0,352.68
13/03 19:00,0,823.54,411.77,0,411.77
13/03 20:00,0,817.3,408.65,0,408.65
13/03 21:00,0,701.98,350.99,0,350.99
13/03 22:00,0,559.95,279.97,0,279.97
13/03 23:00,0,309.41,93.56,0,215.85
14/03 00:00,0,180.01,0,0,180.01
14/03 01:00,0,164.8,0,0,164.8
14/03 02:00,0,159.59,0,0,159.59
14/03 03:00,0,156.64,0,0,156.64
14/03 04:00,0,164.19,0,0,164.19
14/03 05:00,0,186.75,0,0,186.75
14/03 06:00,0,239.77,0,0,239.77
14/03 07:00,59.34,411.38,186.68,0,224.7
14/03 08:00,361.06,298.4,298.4,62.66,0
14/03 09:00,499.69,298.86,298.86,200.83,0
14/03 10:00,510.63,294.98,294.98,215.65,0
14/03 11:00,659.08,323.16,323.16,335.92,0
14/03 12:00,609.76,308.34,308.34,301.42,0
14/03 13:00,71.87,498.19,285.03,0,213.16
14/03 14:00,135.26,367.79,251.52,0,116.26
14/03 15:00,192.22,284.92,238.57,0,46.35
14/03 16:00,34.54,445.53,240.03,0,205.49
14/03 17:00,65.23,472.79,269.01,0,203.78
14/03 18:00,0,717.91,358.96,0,358.96
14/03 19:00,0,837.04,418.52,0,418.52
14/03 20:00,0,842.64,421.32,0,421.32
14/03 21:00,0,719.91,359.95,0,359.95
14/03 22:00,0,542.71,257.4,0,285.32
14/03 23:00,0,223.84,0,0,223.84
15/03 00:00,0,182.06,0,0,182.06
15/03 01:00,0,165.41,0,0,165.41
15/03 02:00,0,158.32,0,0,158.32
15/03 03:00,0,156.16,0,0,156.16
15/03 04:00,0,162.07,0,0,162.07
15/03 05:00,0,185.92,0,0,185.92
15/03 06:00,0,250.3,1.51,0,248.79
15/03 07:00,8.16,432.83,145.86,0,286.97
15/03 08:00,27.29,571.91,299.6,0,272.31
15/03 09:00,43,536.41,289.71,0,246.71
15/03 10:00,191.59,388.74,290.16,0,98.57
15/03 11:00,238.14,372.22,305.18,0,67.04
15/03 12:00,93.49,493.65,293.57,0,200.08
15/03 13:00,106.44,434.69,270.56,0,164.12
15/03 14:00,104.79,367.22,236.01,0,131.22
15/03 15:00,65.58,383.76,224.67,0,159.09
15/03 16:00,53.06,417.25,235.15,0,182.09
15/03 17:00,20.41,516.11,268.26,0,247.85
15/03 18:00,0,713.79,356.89,0,356.89
15/03 19:00,0,826.56,413.28,0,413.28
15/03 20:00,0,822.5,411.25,0,411.25
15/03 21:00,0,699.64,349.82,0,349.82
15/03 22:00,0,558.55,279.27,0,279.27
15/03 23:00,0,429.44,214.72,0,214.72
16/03 00:00,0,187.68,9.53,0,178.15
16/03 01:00,0,161.91,0,0,161.91
16/03 02:00,0,154.78,0,0,154.78
16/03 03:00,0,154.17,0,0,154.17
16/03 04:00,0,161.11,0,0,161.11
16/03 05:00,0,184.16,0,0,184.16
16/03 06:00,0,247.17,3.39,0,243.78
16/03 07:00,24.73,471.03,197.76,0,273.27
16/03 08:00,166.83,445.93,306.38,0,139.55
16/03 09:00,181.39,389.77,285.58,0,104.19
16/03 10:00,110.51,469.11,289.81,0,179.3
16/03 11:00,328.84,308.56,308.56,20.28,0
16/03 12:00,439.94,297.21,297.21,142.73,0
16/03 13:00,160.65,410.51,285.58,0,124.93
16/03 14:00,188.46,326.18,257.32,0,68.86
16/03 15:00,172.86,312.46,242.66,0,69.8
16/03 16:00,82.25,408.21,245.23,0,162.98
16/03 17:00,59.34,478.42,268.88,0,209.54
16/03 18:00,0,692.91,346.45,0,346.45
16/03 19:00,0,810.97,405.49,0,405.49
16/03 20:00,0,812.44,406.22,0,406.22
16/03 21:00,0,700.05,350.02,0,350.02
16/03 22:00,0,567.59,283.8,0,283.8
16/03 23:00,0,454.48,227.24,0,227.24
17/03 00:00,0,215.28,23.07,0,192.2
17/03 01:00,0,171.01,0,0,171.01
17/03 02:00,0,161.03,0,0,161.03
17/03 03:00,0,156.94,0,0,156.94
17/03 04:00,0,163.11,0,0,163.11
17/03 05:00,0,172.19,0,0,172.19
17/03 06:00,0,205.89,5.11,0,200.78
17/03 07:00,10.19,458.04,201.65,0,256.39
17/03 08:00,38.26,607.69,322.97,0,284.71
17/03 09:00,49.18,620.15,334.67,0,285.49
17/03 10:00,62.76,607.68,335.22,0,272.46
17/03 11:00,70.83,667.48,369.15,0,298.32
17/03 12:00,39.92,669.31,354.62,0,314.7
17/03 13:00,48.49,606.16,327.32,0,278.83
17/03 14:00,69.19,524.91,297.05,0,227.86
17/03 15:00,55.51,485.4,270.46,0,214.95
17/03 16:00,89.93,451.55,270.74,0,180.81
17/03 17:00,26.94,542.51,284.73,0,257.79
17/03 18:00,0,697.72,348.86,0,348.86
17/03 19:00,0,795.39,397.69,0,397.69
17/03 20:00,0,780.98,390.49,0,390.49
17/03 21:00,0,684.45,342.22,0,342.22
17/03 22:00,0,508.23,221.07,0,287.16
17/03 23:00,0,232.85,0,0,232.85
18/03 00:00,0,197.88,0,0,197.88
18/03 01:00,0,174.12,0,0,174.12
18/03 02:00,0,156.36,0,0,156.36
18/03 03:00,0,155.3,0,0,155.3
18/03 04:00,0,158.04,0,0,158.04
18/03 05:00,0,165.41,0,0,165.41
18/03 06:00,0,182.83,1.05,0,181.78
18/03 07:00,67.45,251.74,90.04,0,161.7
18/03 08:00,122.54,309.44,135.65,0,173.79
18/03 09:00,272.82,253.39,170.58,0,82.81
18/03 10:00,469.04,225.86,225.86,79.05,0
18/03 11:00,457.89,90.62,90.62,43.29,0
18/03 12:00,722.97,68.97,68.97,346.54,0
18/03 13:00,606.77,85.13,85.13,275.31,0
18/03 14:00,322.43,61.13,61.13,20.06,0
18/03 15:00,270.87,137.01,131.65,0,5.36
18/03 16:00,74.39,268.96,75.41,0,193.55
18/03 17:00,42.57,247.52,8.37,0,239.15
18/03 18:00,0,353.33,0,0,353.33
18/03 19:00,0,414.32,0,0,414.32
18/03 20:00,0,415.86,0,0,415.86
18/03 21:00,0,349.53,0,0,349.53
18/03 22:00,0,280.18,0,0,280.18
18/03 23:00,0,217.53,0,0,217.53
19/03 00:00,0,178.79,0,0,178.79
19/03 01:00,0,160.49,0,0,160.49
19/03 02:00,0,154.3,0,0,154.3
19/03 03:00,0,153.28,0,0,153.28
19/03 04:00,0,161.97,0,0,161.97
19/03 05:00,0,185.72,0,0,185.72
19/03 06:00,0,252.88,7.82,0,245.06
19/03 07:00,48.06,461.66,211.29,0,250.37
19/03 08:00,145.45,495.56,320.5,0,175.05
19/03 09:00,76.32,580.57,328.44,0,252.12
19/03 10:00,191.31,460.73,326.02,0,134.71
19/03 11:00,416.36,338.33,338.33,78.03,0
19/03 12:00,438.68,311.21,311.21,127.47,0
19/03 13:00,358.62,281.68,281.68,76.94,0
19/03 14:00,334.84,247.7,247.7,87.14,0
19/03 15:00,432.58,241.77,241.77,190.81,0
19/03 16:00,203.11,280.84,241.97,0,38.86
19/03 17:00,44.28,498.48,271.38,0,227.1
19/03 18:00,0,711.78,355.89,0,355.89
