#{"t_start": 1637833522.8353508, "env_id": null}
r,l,t
-24782.050961,8759,33.775671
-25224.89744,8759,70.520915
-23708.161724,8759,107.14934
-24009.951758,8759,142.73815
-23822.75198,8759,179.324922
-23406.333347,8759,215.831175
-23934.235484,8759,252.420114
-23984.959999,8759,287.453598
-24741.2749,8759,322.831164
-24372.682703,8759,358.659511
-23744.447805,8759,391.665628
-24259.278181,8759,424.53575
-24532.841423,8759,457.372263
-23447.691854,8759,490.078127
-24075.336344,8759,523.058699
-24023.784322,8759,556.049604
-23959.210802,8759,589.040288
-23539.209122,8759,622.009852
-24052.109288,8759,654.915868
-23226.828797,8759,687.596943
-23999.506494,8759,720.549153
-23868.033319,8759,753.529829
-23936.514994,8759,786.364678
-23508.449729,8759,819.286529
-23701.502723,8759,852.272924
-24363.439106,8759,885.260973
-23776.438959,8759,918.114767
-23418.712357,8759,951.580493
-24424.771439,8759,986.222214
-24782.816783,8759,1059.387754
