#{"t_start": 1634635069.3306942, "env_id": null}
r,l,t
-4870.48922,8759,12.338239
-2060.736144,8759,27.034472
-1297.048848,8759,40.357779
-1360.407399,8759,54.532254
-1167.284199,8759,67.450931
-1103.513054,8759,82.552962
-1296.332633,8759,96.110992
-1063.078367,8759,110.408367
-625.203694,8759,124.98307
-691.389483,8759,138.657669
-758.817407,8759,153.44048
-550.953808,8759,170.07928
-515.012643,8759,182.554906
-563.385417,8759,195.125305
-847.140199,8759,209.163889
-823.666595,8759,221.691874
-766.707011,8759,234.758752
-771.892164,8759,247.756312
-847.192884,8759,261.154907
-748.42999,8759,274.395301
