#{"t_start": 1637072637.014024, "env_id": null}
r,l,t
-4087.416879,8759,31.392576
-1179.039042,8759,63.787066
-223.01349,8759,96.775381
-270.858738,8759,128.71647
-61.403072,8759,160.89516
-295.453491,8759,193.013537
-402.778102,8759,225.192955
-167.294004,8759,257.891203
-35.301993,8759,290.545009
341.279844,8759,355.342776
295.17887,8759,388.194065
360.357897,8759,421.222144
435.963345,8759,454.033386
236.086709,8759,487.69409
284.785239,8759,520.732955
198.734354,8759,554.33173
371.523932,8759,588.400517
395.671047,8759,622.871822
718.470464,8759,659.217247
880.51247,8759,727.929584
